run_id,window,horizon,trend_threshold,long_target_threshold,short_target_threshold,long_adverse_limit,short_adverse_limit,min_15m_drop,min_15m_rise,max_flat_ratio,stage1_min_prob,stage2_min_prob,model_source,return_code,elapsed_s,status,trades,n_days,total_pnl,avg_trade,avg_day,positive_days_pct,stage1_balanced_accuracy,stage2_balanced_accuracy,score
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f4_p10.48_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,4.0,0.48,0.5,trained,0,212.36,OK,1041,60,4719.389999999989,4.533515850144082,78.65649999999982,68.33333333333333,0.6575580678902083,0.5481486531845263,5950.871986517849
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3.5_p10.52_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.5,0.52,0.55,trained,0,258.11,OK,1119,65,4690.480000000002,4.191671134941915,72.1612307692308,70.76923076923077,0.643751825085201,0.5380125443628491,5936.184852055159
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3.5_p10.52_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.5,0.52,0.55,trained,0,158.47,OK,1119,65,4690.480000000002,4.191671134941915,72.1612307692308,70.76923076923077,0.643751825085201,0.5380125443628491,5936.184852055159
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f4_p10.52_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,4.0,0.52,0.6,trained,0,159.89,OK,935,64,4636.749999999999,4.959090909090908,72.44921874999999,73.4375,0.6384475893614103,0.5371588676936145,5908.2838676936135
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f4_p10.52_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,4.0,0.52,0.6,trained,0,204.51,OK,935,64,4636.749999999999,4.959090909090908,72.44921874999999,73.4375,0.6384475893614103,0.5371588676936145,5908.2838676936135
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3_p10.52_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.0,0.52,0.6,trained,0,155.74,OK,1075,68,4588.509999999988,4.268381395348826,67.47808823529395,75.0,0.638482738623199,0.548309471811049,5886.819471811037
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3_p10.52_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.0,0.52,0.6,trained,0,152.21,OK,1075,68,4588.509999999988,4.268381395348826,67.47808823529395,75.0,0.638482738623199,0.548309471811049,5886.819471811037
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3_p10.55_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.0,0.55,0.6,trained,0,154.15,OK,1083,66,4578.159999999992,4.227294552169891,69.36606060606049,72.72727272727273,0.6407067231013761,0.5535462375721805,5858.978964844899
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3_p10.55_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.0,0.55,0.6,trained,0,154.71,OK,1083,66,4578.159999999992,4.227294552169891,69.36606060606049,72.72727272727273,0.6407067231013761,0.5535462375721805,5858.978964844899
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3_p10.48_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.0,0.48,0.55,trained,0,186.6,OK,1102,69,4613.889999999986,4.1868330308529815,66.86797101449255,68.11594202898551,0.6492069364171066,0.553886574968321,5848.935995258162
