run_id,window,horizon,trend_threshold,min_15m_drop,min_15m_rise,stage1_min_prob,stage2_min_prob,return_code,elapsed_s,status,trades,n_days,total_pnl,avg_trade,avg_day,positive_days_pct,stage1_balanced_accuracy,stage2_balanced_accuracy,score
w150_h20_thr0.008_d15_r15_p10.6_p20.6,150,20,0.008,15.0,15.0,0.6,0.6,0,48.03,OK,110,24,-93.22000000000298,-0.8474545454545725,-3.884166666666791,37.5,0.5827701927609322,0.4896250455041864,771.4050455041834
w150_h40_thr0.01_d15_r15_p10.6_p20.65,150,40,0.01,15.0,15.0,0.6,0.65,0,118.43,OK,77,21,-394.39000000000124,-5.121948051948068,-18.78047619047625,52.38095238095239,0.5601233484180618,0.6339574468085106,763.3769706180333
w150_h20_thr0.008_d15_r15_p10.6_p20.65,150,20,0.008,15.0,15.0,0.6,0.65,0,48.15,OK,107,23,-134.20000000000073,-1.2542056074766423,-5.834782608695684,39.130434782608695,0.5806682854723438,0.49230769230769234,749.4120401337785
w150_h20_thr0.006_d15_r15_p10.6_p20.7,150,20,0.006,15.0,15.0,0.6,0.7,0,40.55,OK,201,32,-94.61000000000513,-0.47069651741296087,-2.9565625000001603,31.25,0.5804320312699363,0.5064390162844798,724.3290162844747
w150_h20_thr0.008_d15_r15_p10.6_p20.7,150,20,0.008,15.0,15.0,0.6,0.7,0,48.28,OK,107,23,-155.8800000000001,-1.456822429906543,-6.777391304347831,39.130434782608695,0.5753065317155407,0.47939743021710235,714.8217780431892
w150_h25_thr0.006_d15_r15_p10.6_p20.7,150,25,0.006,15.0,15.0,0.6,0.7,0,46.5,OK,169,31,-134.30999999999585,-0.7947337278106263,-4.332580645161157,32.25806451612903,0.5811823328641065,0.4839528795811518,672.2235247424462
w150_h25_thr0.006_d15_r15_p10.6_p20.65,150,25,0.006,15.0,15.0,0.6,0.65,0,44.1,OK,179,32,-199.0899999999947,-1.1122346368714786,-6.221562499999834,31.25,0.5936453137272778,0.48038537355909194,593.7953735590972
w150_h25_thr0.006_d15_r15_p10.6_p20.6,150,25,0.006,15.0,15.0,0.6,0.6,0,44.45,OK,183,32,-202.75999999999294,-1.107978142076464,-6.3362499999997794,31.25,0.6055005936385861,0.47781122647498514,587.5512264749922
w150_h20_thr0.006_d15_r15_p10.6_p20.6,150,20,0.006,15.0,15.0,0.6,0.6,0,42.39,OK,211,32,-328.4399999999996,-1.5565876777251166,-10.263749999999987,34.375,0.6129699379613185,0.5139900860009555,529.300086000956
w150_h20_thr0.006_d15_r15_p10.6_p20.65,150,20,0.006,15.0,15.0,0.6,0.65,0,40.6,OK,207,32,-401.4500000000007,-1.939371980676332,-12.545312500000023,34.375,0.595602395541413,0.5042678792230066,446.5678792230059
w150_h40_thr0.006_d15_r15_p10.6_p20.7,150,40,0.006,15.0,15.0,0.6,0.7,0,49.04,OK,165,36,-374.3600000000042,-2.2688484848485104,-10.398888888889006,36.11111111111111,0.5779443310912623,0.4485198985664752,435.271009677582
w150_h40_thr0.006_d15_r15_p10.6_p20.6,150,40,0.006,15.0,15.0,0.6,0.6,0,49.44,OK,179,36,-640.6000000000095,-3.5787709497207234,-17.794444444444707,33.33333333333333,0.6022529951474042,0.45742658129048247,150.1599146238063
w150_h40_thr0.006_d15_r15_p10.6_p20.65,150,40,0.006,15.0,15.0,0.6,0.65,0,48.7,OK,172,36,-657.2400000000061,-3.82116279069771,-18.25666666666684,33.33333333333333,0.5909878154607677,0.4501833668520052,126.27670018533234
