side,entry_idx,exit_idx,entry_time,exit_time,entry_price,exit_price,pnl_usd,bars_held,exit_reason,lookback,ema_fast,ema_slow,atr_period,tp_atr,sl_atr,max_hold
short,4664,4668,2026-03-13 20:00:00+00:00,2026-03-15 22:00:00+00:00,5016.68,5031.7444000000005,-15.064400000000205,5,stop_loss,24,20,60,10,1.6,1.3,10
short,4709,4709,2026-03-16 08:15:00+00:00,2026-03-16 08:15:00+00:00,4988.16,5002.4313999999995,-14.27139999999963,1,stop_loss,24,20,60,10,1.6,1.3,10
short,4711,4720,2026-03-16 08:45:00+00:00,2026-03-16 11:00:00+00:00,4987.18,5002.6656,-15.485599999999977,10,stop_loss,24,20,60,10,1.6,1.3,10
short,4811,4815,2026-03-17 10:45:00+00:00,2026-03-17 11:45:00+00:00,4999.05,5011.5417,-12.491699999999582,5,stop_loss,24,20,60,10,1.6,1.3,10
short,4831,4833,2026-03-17 15:45:00+00:00,2026-03-17 16:15:00+00:00,4984.53,5004.906199999999,-20.3761999999997,3,stop_loss,24,20,60,10,1.6,1.3,10
short,4906,4907,2026-03-18 11:30:00+00:00,2026-03-18 11:45:00+00:00,4948.27,4926.780400000001,21.489599999999882,2,take_profit,24,20,60,10,1.6,1.3,10
short,4909,4910,2026-03-18 12:15:00+00:00,2026-03-18 12:30:00+00:00,4908.06,4877.4168,30.643200000000434,2,take_profit,24,20,60,10,1.6,1.3,10
short,4913,4916,2026-03-18 13:15:00+00:00,2026-03-18 14:00:00+00:00,4858.47,4890.2264000000005,-31.756400000000212,4,stop_loss,24,20,60,10,1.6,1.3,10
short,4940,4941,2026-03-18 20:00:00+00:00,2026-03-18 20:15:00+00:00,4842.95,4817.5548,25.39519999999993,2,take_profit,24,20,60,10,1.6,1.3,10
short,4978,4978,2026-03-19 06:30:00+00:00,2026-03-19 06:30:00+00:00,4813.71,4798.374,15.33600000000024,1,take_profit,24,20,60,10,1.6,1.3,10
short,4980,4982,2026-03-19 07:00:00+00:00,2026-03-19 07:30:00+00:00,4763.74,4736.8184,26.92159999999967,3,take_profit,24,20,60,10,1.6,1.3,10
short,4984,4993,2026-03-19 08:00:00+00:00,2026-03-19 10:15:00+00:00,4727.97,4687.0468,40.92320000000018,10,take_profit,24,20,60,10,1.6,1.3,10
short,4999,5000,2026-03-19 11:45:00+00:00,2026-03-19 12:00:00+00:00,4664.03,4623.1964,40.83359999999993,2,take_profit,24,20,60,10,1.6,1.3,10
short,5002,5002,2026-03-19 12:30:00+00:00,2026-03-19 12:30:00+00:00,4606.59,4563.1532,43.4368000000004,1,take_profit,24,20,60,10,1.6,1.3,10
short,5088,5090,2026-03-20 11:00:00+00:00,2026-03-20 11:30:00+00:00,4644.94,4670.9881,-26.048099999999977,3,stop_loss,24,20,60,10,1.6,1.3,10
short,5100,5101,2026-03-20 14:00:00+00:00,2026-03-20 14:15:00+00:00,4616.51,4580.5276,35.98239999999987,2,take_profit,24,20,60,10,1.6,1.3,10
short,5119,5119,2026-03-20 18:45:00+00:00,2026-03-20 18:45:00+00:00,4525.63,4488.197999999999,37.4320000000007,1,take_profit,24,20,60,10,1.6,1.3,10
short,5161,5161,2026-03-23 06:15:00+00:00,2026-03-23 06:15:00+00:00,4294.69,4256.814799999999,37.875200000000405,1,take_profit,24,20,60,10,1.6,1.3,10
long,5272,5272,2026-03-24 11:00:00+00:00,2026-03-24 11:00:00+00:00,4439.04,4416.5162,-22.523799999999937,1,stop_loss,24,20,60,10,1.6,1.3,10
