ts,pred,side,entry,exit,pnl
2026-03-19T19:06:00+00:00,2,up,4650.99,4635.45,-15.539999999999964
2026-03-19T19:21:00+00:00,0,down,4648.67,4649.53,-0.8599999999996726
2026-03-19T19:24:00+00:00,0,down,4644.08,4650.08,-6.0
2026-03-19T19:26:00+00:00,0,down,4637.72,4654.3,-16.579999999999927
2026-03-19T19:27:00+00:00,0,down,4642.77,4652.0,-9.229999999999563
2026-03-19T19:28:00+00:00,0,down,4637.99,4656.07,-18.079999999999927
2026-03-19T19:29:00+00:00,0,down,4644.26,4655.78,-11.519999999999527
2026-03-19T19:30:00+00:00,0,down,4640.89,4653.23,-12.339999999999236
2026-03-19T19:31:00+00:00,0,down,4640.49,4653.57,-13.079999999999927
2026-03-19T19:32:00+00:00,0,down,4642.23,4657.58,-15.350000000000364
2026-03-19T19:33:00+00:00,0,down,4645.27,4656.34,-11.069999999999709
2026-03-19T19:34:00+00:00,0,down,4646.39,4654.34,-7.949999999999818
2026-03-19T19:35:00+00:00,0,down,4633.98,4653.95,-19.970000000000255
2026-03-19T19:36:00+00:00,0,down,4639.99,4650.57,-10.579999999999927
2026-03-19T19:37:00+00:00,0,down,4645.46,4651.39,-5.930000000000291
2026-03-19T19:38:00+00:00,0,down,4641.13,4658.78,-17.649999999999636
2026-03-19T19:39:00+00:00,0,down,4640.88,4655.82,-14.9399999999996
2026-03-19T19:40:00+00:00,0,down,4640.54,4656.0,-15.460000000000036
2026-03-19T19:41:00+00:00,0,down,4641.26,4658.07,-16.80999999999949
2026-03-19T19:42:00+00:00,0,down,4641.65,4659.36,-17.710000000000036
2026-03-19T19:43:00+00:00,0,down,4640.04,4658.46,-18.420000000000073
2026-03-19T19:44:00+00:00,0,down,4638.76,4658.75,-19.98999999999978
2026-03-19T19:45:00+00:00,0,down,4637.23,4658.4,-21.170000000000073
2026-03-19T19:46:00+00:00,0,down,4635.45,4658.47,-23.020000000000437
2026-03-19T19:47:00+00:00,0,down,4637.94,4656.52,-18.580000000000837
2026-03-19T19:49:00+00:00,0,down,4635.62,4657.48,-21.859999999999673
2026-03-19T19:50:00+00:00,0,down,4633.18,4658.25,-25.06999999999971
2026-03-19T19:52:00+00:00,0,down,4637.39,4654.99,-17.599999999999454
2026-03-19T19:56:00+00:00,0,down,4647.58,4656.41,-8.829999999999927
2026-03-19T20:00:00+00:00,0,down,4646.99,4655.07,-8.079999999999927
2026-03-20T17:09:00+00:00,0,down,4590.8,4564.07,26.730000000000473
2026-03-20T18:46:00+00:00,0,down,4523.12,4491.98,31.140000000000327
2026-03-20T18:47:00+00:00,0,down,4516.72,4496.43,20.289999999999964
2026-03-20T18:48:00+00:00,0,down,4512.67,4497.16,15.510000000000218
2026-03-20T18:49:00+00:00,0,down,4510.57,4498.27,12.299999999999272
2026-03-20T18:51:00+00:00,0,down,4515.52,4501.91,13.610000000000582
2026-03-20T18:52:00+00:00,0,down,4512.97,4502.25,10.720000000000255
2026-03-20T18:53:00+00:00,0,down,4504.06,4505.35,-1.2899999999999636
2026-03-20T18:54:00+00:00,0,down,4502.95,4497.64,5.309999999999491
2026-03-20T18:55:00+00:00,0,down,4485.33,4495.06,-9.730000000000473
2026-03-20T18:56:00+00:00,0,down,4485.65,4496.31,-10.660000000000764
2026-03-20T18:59:00+00:00,0,down,4499.88,4509.52,-9.640000000000327
2026-03-20T19:01:00+00:00,0,down,4513.19,4506.36,6.829999999999927
2026-03-20T19:02:00+00:00,0,down,4513.46,4504.64,8.819999999999709
2026-03-20T19:03:00+00:00,0,down,4509.47,4508.19,1.2800000000006548
2026-03-20T19:04:00+00:00,0,down,4500.8,4514.82,-14.019999999999527
2026-03-20T19:07:00+00:00,0,down,4497.62,4514.01,-16.390000000000327
2026-03-20T19:08:00+00:00,0,down,4501.92,4509.96,-8.039999999999964
2026-03-20T19:09:00+00:00,0,down,4502.48,4508.32,-5.8400000000001455
2026-03-20T19:10:00+00:00,0,down,4499.82,4509.67,-9.850000000000364
2026-03-20T19:11:00+00:00,0,down,4493.4,4509.24,-15.840000000000146
2026-03-20T19:12:00+00:00,0,down,4497.47,4511.33,-13.859999999999673
2026-03-20T19:13:00+00:00,0,down,4501.19,4511.79,-10.600000000000364
2026-03-20T19:14:00+00:00,0,down,4500.44,4515.31,-14.8700000000008
2026-03-20T19:15:00+00:00,0,down,4506.96,4511.81,-4.850000000000364
2026-03-20T19:16:00+00:00,0,down,4501.3,4501.4,-0.0999999999994543
2026-03-20T19:17:00+00:00,0,down,4499.13,4505.06,-5.930000000000291
2026-03-20T19:18:00+00:00,0,down,4498.11,4503.98,-5.869999999999891
2026-03-20T19:19:00+00:00,0,down,4501.1,4501.7,-0.5999999999994543
2026-03-20T19:20:00+00:00,0,down,4494.74,4499.48,-4.739999999999782
2026-03-20T19:21:00+00:00,0,down,4490.25,4501.49,-11.239999999999782
2026-03-20T19:22:00+00:00,0,down,4492.81,4503.79,-10.979999999999563
2026-03-20T19:23:00+00:00,0,down,4492.15,4505.54,-13.390000000000327
2026-03-20T19:25:00+00:00,2,up,4486.44,4496.18,9.740000000000691
2026-03-20T19:26:00+00:00,2,up,4491.98,4497.85,5.8700000000008
2026-03-20T19:29:00+00:00,2,up,4498.27,4502.21,3.9399999999996
2026-03-20T19:34:00+00:00,0,down,4497.64,4505.08,-7.4399999999996
2026-03-20T19:36:00+00:00,0,down,4496.31,4504.77,-8.460000000000036
2026-03-22T22:21:00+00:00,2,up,4524.83,4507.39,-17.4399999999996
2026-03-22T22:23:00+00:00,2,up,4520.73,4500.7,-20.029999999999745
2026-03-22T22:29:00+00:00,2,up,4524.57,4495.24,-29.329999999999927
2026-03-22T22:31:00+00:00,0,down,4523.44,4491.6,31.839999999999236
2026-03-22T22:32:00+00:00,0,down,4515.64,4490.56,25.079999999999927
2026-03-22T22:34:00+00:00,2,up,4513.11,4490.96,-22.149999999999636
2026-03-22T22:35:00+00:00,2,up,4514.58,4495.81,-18.769999999999527
2026-03-22T22:36:00+00:00,2,up,4507.04,4498.52,-8.519999999999527
2026-03-22T22:37:00+00:00,2,up,4508.58,4499.02,-9.55999999999949
