os,warm,ob,cool,slk,ros,rob,n,eh,tpx,slx,rr,pt,nt,pnl,wr,dd
-5,-30,-60,-10,0,20,15,74306,480,0.7,0.25,2.8,0.4,138,306.08115358041687,36.231884057971016,-161.57219534595652
0,-30,-60,-10,0,20,15,74306,480,0.7,0.25,2.8,0.4,138,306.08115358041687,36.231884057971016,-161.57219534595652
0,-30,-60,-10,0,15,15,74306,480,0.7,0.25,2.8,0.4,138,306.08115358041687,36.231884057971016,-161.57219534595652
-5,-30,-60,-10,0,15,15,74306,480,0.5,0.25,2.0,0.45,165,305.7406221521924,40.0,-269.0873700765587
-5,-30,-60,-10,0,20,15,74306,480,0.5,0.25,2.0,0.45,165,305.7406221521924,40.0,-269.0873700765587
0,-30,-60,-10,0,15,15,74306,480,0.5,0.25,2.0,0.45,165,305.7406221521924,40.0,-269.0873700765587
0,-30,-60,-10,0,20,15,74306,480,0.5,0.25,2.0,0.45,165,305.7406221521924,40.0,-269.0873700765587
-5,-30,-60,-10,0,15,15,74306,360,0.45,0.25,1.8,0.4,122,302.2816134442064,41.80327868852459,-188.60193403108678
0,-30,-60,-10,0,20,15,74306,360,0.45,0.25,1.8,0.4,122,302.2816134442064,41.80327868852459,-188.60193403108678
-5,-30,-60,-10,0,20,15,74306,360,0.45,0.25,1.8,0.4,122,302.2816134442064,41.80327868852459,-188.60193403108678
0,-30,-60,-10,0,15,15,74306,360,0.45,0.25,1.8,0.4,122,302.2816134442064,41.80327868852459,-188.60193403108678
-5,-30,-60,-10,0,15,15,74306,480,0.5,0.3,1.6666666666666667,0.45,153,300.8805474892242,44.44444444444444,-246.63585863976186
-5,-30,-60,-10,0,20,15,74306,480,0.5,0.3,1.6666666666666667,0.45,153,300.8805474892242,44.44444444444444,-246.63585863976186
0,-30,-60,-10,0,15,15,74306,480,0.5,0.3,1.6666666666666667,0.45,153,300.8805474892242,44.44444444444444,-246.63585863976186
0,-30,-60,-10,0,20,15,74306,480,0.5,0.3,1.6666666666666667,0.45,153,300.8805474892242,44.44444444444444,-246.63585863976186
0,-30,-60,-10,0,20,10,73983,360,0.55,0.35,1.5714285714285716,0.45,90,297.4673069210676,45.55555555555556,-135.73992063459082
0,-30,-60,-10,0,20,10,73983,480,0.6,0.2,2.9999999999999996,0.45,186,297.25068412370365,33.33333333333333,-213.1485874843056
0,-30,-60,-10,0,20,10,73983,360,0.45,0.2,2.25,0.45,140,295.73677273783096,35.0,-165.73141038890844
0,-30,-60,-10,0,20,15,74306,480,0.45,0.35,1.2857142857142858,0.4,149,293.41742944870566,47.651006711409394,-276.5198895922258
-5,-30,-60,-10,0,20,15,74306,480,0.45,0.35,1.2857142857142858,0.4,149,293.41742944870566,47.651006711409394,-276.5198895922258
-5,-30,-60,-10,0,15,15,74306,480,0.45,0.35,1.2857142857142858,0.4,149,293.41742944870566,47.651006711409394,-276.5198895922258
0,-30,-60,-10,0,15,15,74306,480,0.45,0.35,1.2857142857142858,0.4,149,293.41742944870566,47.651006711409394,-276.5198895922258
0,-30,-60,-10,0,20,10,73983,360,0.6,0.4,1.4999999999999998,0.4,89,292.95854284563393,46.06741573033708,-153.8027664395313
0,-30,-60,-10,0,20,15,74306,360,0.55,0.3,1.8333333333333335,0.4,100,292.47909640025,43.0,-135.78606276979917
-5,-30,-60,-10,0,15,15,74306,360,0.55,0.3,1.8333333333333335,0.4,100,292.47909640025,43.0,-135.78606276979917
0,-30,-60,-10,0,15,15,74306,360,0.55,0.3,1.8333333333333335,0.4,100,292.47909640025,43.0,-135.78606276979917
-5,-30,-60,-10,0,20,15,74306,360,0.55,0.3,1.8333333333333335,0.4,100,292.47909640025,43.0,-135.78606276979917
0,-30,-60,-10,0,20,15,74306,480,0.7,0.4,1.7499999999999998,0.45,106,291.62514632771763,46.22641509433962,-145.58052309155664
-5,-30,-60,-10,0,20,15,74306,480,0.7,0.4,1.7499999999999998,0.45,106,291.62514632771763,46.22641509433962,-145.58052309155664
-5,-30,-60,-10,0,15,15,74306,480,0.7,0.4,1.7499999999999998,0.45,106,291.62514632771763,46.22641509433962,-145.58052309155664
