entry_time,exit_time,pnl,side,source,matched_pattern,pattern,exit_reason,entry_price,exit_price
2024-10-09 10:30:00+00:00,2024-10-09 11:00:00+00:00,30.0,-1,ret_short,,ret_short,tp,7310.6,7280.6
2024-10-09 12:00:00+00:00,2024-10-09 12:15:00+00:00,30.0,-1,ret_short,,ret_short,tp,7332.1,7302.1
2024-10-09 13:45:00+00:00,2024-10-09 14:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7174.6,7189.6
2024-10-09 14:30:00+00:00,2024-10-09 18:30:00+00:00,103.5,1,wr90,,wr90,ny_close,7193.8,7297.3
2024-10-10 12:00:00+00:00,2024-10-10 12:30:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7376.3,7361.3
2024-10-10 13:15:00+00:00,2024-10-10 13:30:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7385.9,7370.9
2024-10-10 13:45:00+00:00,2024-10-10 14:00:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7382.8,7367.8
2024-10-10 14:00:00+00:00,2024-10-10 14:15:00+00:00,30.0,1,long_retrace,,long_ret,tp,7407.5,7437.5
2024-10-10 15:45:00+00:00,2024-10-10 16:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7491.2,7506.2
2024-10-11 09:30:00+00:00,2024-10-11 10:00:00+00:00,30.0,-1,ret_short,,ret_short,tp,7492.2,7462.2
2024-10-11 13:30:00+00:00,2024-10-11 14:00:00+00:00,30.0,-1,ret_short,,ret_short,tp,7493.5,7463.5
2024-10-11 14:15:00+00:00,2024-10-11 14:45:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7523.4,7538.4
2024-10-11 15:16:00+00:00,2024-10-11 16:46:00+00:00,3.300000000000182,-1,short_impulse,,si,timeout,,
2024-10-14 15:45:00+00:00,2024-10-14 16:30:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7332.1,7347.1
2024-10-15 08:15:00+00:00,2024-10-15 09:00:00+00:00,30.0,-1,ret_short,,ret_short,tp,7030.7,7000.7
2024-10-15 10:00:00+00:00,2024-10-15 10:15:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6965.9,6980.9
2024-10-15 13:45:00+00:00,2024-10-15 14:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6994.3,7009.3
2024-10-15 16:00:00+00:00,2024-10-15 16:15:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6963.9,6978.9
