eh,tpx,slx,rr,pt,nt,pnl,wr,dd
360,0.7,0.2,3.4999999999999996,0.4,63,449.36535994464157,41.269841269841265,-222.1929298155237
360,0.55,0.15,3.666666666666667,0.45,102,447.4860110261675,37.254901960784316,-193.57553927677236
480,0.55,0.2,2.75,0.55,95,444.4090046205074,38.94736842105263,-265.4310783670562
360,0.45,0.3,1.5,0.45,185,436.6285897802504,47.02702702702703,-395.59340023405366
360,0.55,0.4,1.375,0.5,117,433.7059752645323,50.427350427350426,-441.4147883372011
360,0.7,0.35,2.0,0.4,79,430.2852515818372,51.89873417721519,-338.1915707575113
480,0.7,0.2,3.4999999999999996,0.45,73,429.24705503194946,41.0958904109589,-248.9234521887347
480,0.65,0.2,3.25,0.55,55,428.16068212577284,34.54545454545455,-153.09272564899265
480,0.5,0.25,2.0,0.45,193,427.29538297362706,40.41450777202073,-456.09933655876966
240,0.6,0.4,1.4999999999999998,0.55,34,424.9580371896991,41.17647058823529,-97.13313401202731
360,0.55,0.15,3.666666666666667,0.5,78,423.9712833053045,39.743589743589745,-179.1837351884442
360,0.6,0.2,2.9999999999999996,0.5,67,415.5888467557352,44.776119402985074,-271.94436790891905
240,0.65,0.35,1.8571428571428574,0.5,29,406.28899178402844,41.37931034482759,-80.01198087148032
360,0.6,0.2,2.9999999999999996,0.55,55,406.0714751784253,47.27272727272727,-237.3202769024756
360,0.45,0.2,2.25,0.4,216,403.6779438346839,39.81481481481482,-224.85183072500467
480,0.5,0.35,1.4285714285714286,0.5,161,402.06779695491696,46.58385093167702,-426.71712627327224
480,0.7,0.4,1.7499999999999998,0.45,90,401.41770851354204,50.0,-257.6693004391359
360,0.5,0.4,1.25,0.4,202,400.76131218565024,44.05940594059406,-571.5177476822669
480,0.7,0.4,1.7499999999999998,0.4,114,397.99361181660333,47.368421052631575,-403.17781219872313
360,0.7,0.25,2.8,0.5,52,395.1827897381636,51.92307692307693,-175.142012793473
360,0.5,0.3,1.6666666666666667,0.55,93,391.56591091254495,47.31182795698925,-194.10828702484378
360,0.6,0.2,2.9999999999999996,0.45,84,391.35201645459847,41.66666666666667,-346.989457826121
240,0.6,0.2,2.9999999999999996,0.45,48,383.354646312373,50.0,-108.46286465191406
240,0.45,0.2,2.25,0.4,122,382.55824232626037,43.44262295081967,-259.7325406224436
360,0.5,0.25,2.0,0.55,99,381.29775057497454,42.42424242424242,-225.80768433172216
480,0.7,0.2,3.4999999999999996,0.5,59,374.4471941804054,40.67796610169492,-228.95144766339126
240,0.65,0.25,2.6,0.5,27,374.1670157128751,44.44444444444444,-73.74358081489117
480,0.55,0.2,2.75,0.5,113,373.39715507648907,35.39823008849557,-360.33884290223205
