side,signal_ts,entry_time,entry_price,stop,target,timeout,tp,sl,horizon,target_updates,stop_updates,exit_time,exit_price,exit_reason,pnl,win,minute_in_15m,slot_rip_pts,prev_15m_body,month,hour_lon
-1,2025-11-21 16:49:00+00:00,2025-11-21 16:50:00+00:00,4082.53,4117.530000000001,4032.53,2025-11-21 17:54:00+00:00,50.0,35.0,60,5,0,2025-11-21 17:54:00+00:00,4087.71,timeout,-5.179999999999836,False,4,5.360000000000127,2.3899999999998727,2025-11,16
-1,2025-11-24 18:52:00+00:00,2025-11-24 18:53:00+00:00,4120.27,4155.27,4070.21,2025-11-24 19:54:00+00:00,50.0,35.0,60,2,0,2025-11-24 19:54:00+00:00,4119.68,timeout,0.5900000000001455,True,7,5.8700000000008,8.0,2025-11,18
-1,2025-11-24 20:37:00+00:00,2025-11-24 20:38:00+00:00,4132.74,4167.74,4082.74,2025-11-24 21:38:00+00:00,50.0,35.0,60,1,0,2025-11-24 21:38:00+00:00,4133.33,timeout,-0.5900000000001455,False,7,6.010000000000218,3.0900000000001455,2025-11,20
-1,2025-11-25 10:04:00+00:00,2025-11-25 10:05:00+00:00,4134.95,4169.95,4084.95,2025-11-25 11:09:00+00:00,50.0,35.0,60,3,0,2025-11-25 11:09:00+00:00,4130.7,timeout,4.25,True,4,5.75,6.219999999999345,2025-11,10
-1,2025-11-25 17:33:00+00:00,2025-11-25 17:34:00+00:00,4157.08,4192.08,4107.08,2025-11-25 18:37:00+00:00,50.0,35.0,60,2,0,2025-11-25 18:37:00+00:00,4142.28,timeout,14.800000000000182,True,3,5.890000000000327,5.290000000000873,2025-11,17
-1,2025-11-26 08:06:00+00:00,2025-11-26 08:07:00+00:00,4164.32,4199.32,4114.32,2025-11-26 09:09:00+00:00,50.0,35.0,60,2,0,2025-11-26 09:09:00+00:00,4160.98,timeout,3.3400000000001455,True,6,5.25,2.599999999998545,2025-11,8
-1,2025-11-26 11:33:00+00:00,2025-11-26 11:34:00+00:00,4171.64,4206.64,4121.64,2025-11-26 12:39:00+00:00,50.0,35.0,60,3,0,2025-11-26 12:39:00+00:00,4162.05,timeout,9.590000000000146,True,3,5.1200000000008,1.9899999999997817,2025-11,11
-1,2025-11-26 15:08:00+00:00,2025-11-26 15:09:00+00:00,4145.78,4180.78,4095.71,2025-11-26 16:09:00+00:00,50.0,35.0,60,1,0,2025-11-26 16:09:00+00:00,4163.12,timeout,-17.340000000000146,False,8,6.8200000000006185,3.0200000000004366,2025-11,15
-1,2025-11-28 14:22:00+00:00,2025-11-28 14:23:00+00:00,4197.81,4232.81,4147.81,2025-11-28 15:39:00+00:00,50.0,35.0,60,4,0,2025-11-28 15:39:00+00:00,4196.41,timeout,1.4000000000005457,True,7,6.75,12.0600000000004,2025-11,14
-1,2025-11-28 16:21:00+00:00,2025-11-28 16:22:00+00:00,4206.97,4241.97,4156.74,2025-11-28 17:24:00+00:00,50.0,35.0,60,2,0,2025-11-28 17:24:00+00:00,4207.83,timeout,-0.8599999999996726,False,6,5.369999999998981,3.0399999999999636,2025-11,16
