
======================================================================
  GOLD v16 COMBINED (merged portfolio)
  Period: 2025-06-01 → 2026-06-25
======================================================================
  Total Trades: 912
  Net PnL     : +6906.64 pts
  Win Rate    : 53.0%
  Avg/trade   : +7.57
  Max DD      : -262.18

  By source:
    energetic           :  241 trades  PnL=+729.7  WR=54%  avg=+3.03
    pattern             :  332 trades  PnL=+3345.5  WR=55%  avg=+10.08
    v16_dip_short       :  221 trades  PnL=+686.3  WR=50%  avg=+3.11
    v16_momentum        :  118 trades  PnL=+2145.1  WR=50%  avg=+18.18

  By leg:
    breakthrough_long   :    5 trades  PnL=+246.8  WR=100%  avg=+49.35
    breakthrough_short  :    3 trades  PnL=+172.5  WR=100%  avg=+57.50
    downtrend_retrace   :   41 trades  PnL=+702.9  WR=63%  avg=+17.14
    energetic           :  241 trades  PnL=+729.7  WR=54%  avg=+3.03
    reversal_fvg_long   :   71 trades  PnL=+395.5  WR=52%  avg=+5.57
    reversal_fvg_short  :   18 trades  PnL=+231.1  WR=33%  avg=+12.84
    uptrend_retrace     :  194 trades  PnL=+1596.8  WR=55%  avg=+8.23
    v16_dip_short       :  221 trades  PnL=+686.3  WR=50%  avg=+3.11
    v16_momentum        :  118 trades  PnL=+2145.1  WR=50%  avg=+18.18

  By matched_pattern:
    breakthrough_long   :    5 trades  PnL=+246.8  WR=100%  avg=+49.35
    breakthrough_short  :    3 trades  PnL=+172.5  WR=100%  avg=+57.50
    downtrend_retrace   :   41 trades  PnL=+702.9  WR=63%  avg=+17.14
    reversal_fvg_long   :   71 trades  PnL=+395.5  WR=52%  avg=+5.57
    reversal_fvg_short  :   18 trades  PnL=+231.1  WR=33%  avg=+12.84
    uptrend_retrace     :  194 trades  PnL=+1596.8  WR=55%  avg=+8.23

  LONG total :  402  PnL=+3042.7  WR=54%
  SHORT total:  510  PnL=+3863.9  WR=52%

────────────────────────────────────────────────────────────
  ALL TRADES (HKT)
────────────────────────────────────────────────────────────
  entry_hkt exit_hkt  dir entry_price exit_price     pnl exit_reason            pattern
01-21 17:34    17:59   up        None       None -10.340                   v16_momentum
01-21 22:12    00:15 down        None       None  -6.250              downtrend_retrace
01-22 03:33    09:15 down        None       None  19.050                   v16_momentum
01-22 22:33    23:24 down        None       None  -2.180                  v16_dip_short
01-22 23:35    00:21 down        None       None -12.770                  v16_dip_short
01-23 00:39    01:24 down        None       None  -4.460                  v16_dip_short
01-23 01:54    02:39 down        None       None -10.180                  v16_dip_short
01-23 17:47    07:01   up        None       None 102.810                   v16_momentum
01-26 18:40    19:25 down        None       None   9.840                  v16_dip_short
01-27 00:02    00:28   up        None       None -13.050                   v16_momentum
01-27 01:33    02:19 down        None       None   3.630                  v16_dip_short
01-27 04:52    05:21 down        None       None  35.000                  v16_dip_short
01-27 18:47    19:09 down        None       None  -5.490                   v16_momentum
01-27 21:32    22:30 down        None       None  13.890                   v16_momentum
01-27 23:03    23:50 down        None       None -23.920                  v16_dip_short
01-28 03:58    04:11   up        None       None  40.000              breakthrough_long
01-28 04:50    05:39 down        None       None -21.490                  v16_dip_short
01-28 05:39    07:01   up        None       None  -5.220              reversal_fvg_long
01-28 09:46    09:59   up        None       None -15.000              reversal_fvg_long
01-28 10:28    10:57   up        None       None   9.890              reversal_fvg_long
01-28 13:42    13:58   up        None       None  -3.900              reversal_fvg_long
01-28 16:01    16:25   up        None       None   4.970              reversal_fvg_long
01-28 16:31    16:45   up        None       None -15.000              reversal_fvg_long
01-28 23:24    00:53 down        None       None -19.250                  v16_dip_short
01-29 01:52    03:09 down        None       None  16.890                  v16_dip_short
01-29 03:35    03:57 down        None       None -35.000                  v16_dip_short
01-29 04:19    04:36 down        None       None -35.000                  v16_dip_short
01-29 05:49    07:01   up        None       None  50.070              breakthrough_long
01-29 07:03    07:19   up        None       None  49.800              breakthrough_long
01-29 07:25    07:38   up        None       None  66.900              breakthrough_long
01-29 08:19    08:20   up        None       None -15.000                uptrend_retrace
01-29 09:05    09:09   up        None       None -15.000                uptrend_retrace
