fast_h,slow_h,ob,cool,os,rec,slk,exec_h,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
15,60,-20,-40,-70,-50,5,240,0.4,0.15,2.666666666666667,4715,644,13.658536585365855,33.086103227262434,12.407288710223412,644
15,60,-20,-40,-80,-50,5,360,0.3,0.2,1.4999999999999998,2285,634,27.74617067833698,25.003692494403886,16.669128329602593,634
15,60,-20,-50,-70,-50,5,360,0.35,0.2,1.7499999999999998,2541,633,24.911452184179456,28.526946068712537,16.301112039264307,633
30,60,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,2259,631,27.932713590084106,24.204516522353522,16.13634434823568,630
15,60,-10,-40,-70,-50,10,240,0.4,0.15,2.666666666666667,4635,628,13.549083063646169,33.08808366772096,12.408031375395359,627
15,60,-10,-40,-70,-50,5,240,0.4,0.15,2.666666666666667,4571,627,13.716910960402537,32.91372664681439,12.342647492555397,626
15,60,-20,-50,-70,-50,5,360,0.3,0.15,2.0,2541,625,24.596615505706414,24.45166805889646,12.22583402944823,625
15,90,-20,-40,-70,-50,5,240,0.3,0.2,1.4999999999999998,2752,624,22.674418604651162,25.017486848417025,16.67832456561135,624
15,60,-10,-50,-70,-50,5,360,0.35,0.2,1.7499999999999998,2468,618,25.040518638573744,28.404446450162787,16.231112257235882,618
15,60,-10,-40,-80,-50,5,360,0.3,0.2,1.4999999999999998,2209,615,27.840651878678134,24.952338036678086,16.634892024452057,615
15,90,-20,-40,-70,-50,5,360,0.35,0.15,2.3333333333333335,2752,615,22.34738372093023,29.187067989819862,12.508743424208513,615
15,60,-20,-50,-70,-50,10,240,0.3,0.2,1.4999999999999998,2670,615,23.03370786516854,24.530056964612537,16.353371309741693,615
15,60,-20,-40,-80,-50,10,360,0.3,0.2,1.4999999999999998,2214,614,27.732610659439928,25.044659674784292,16.69643978318953,614
15,60,-10,-50,-70,-50,5,360,0.3,0.15,2.0,2468,611,24.756888168557538,24.346668385853814,12.173334192926907,611
15,90,-20,-40,-70,-50,10,240,0.3,0.2,1.4999999999999998,2792,608,21.776504297994272,24.912830649679904,16.608553766453273,608
15,90,-10,-40,-70,-50,5,240,0.3,0.2,1.4999999999999998,2682,607,22.632363907531694,24.98166425050772,16.654442833671816,607
15,90,-20,-40,-70,-50,5,360,0.4,0.2,2.0,2752,602,21.875,33.3566491312227,16.67832456561135,602
15,90,-20,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,2792,599,21.454154727793696,29.064969091293218,12.456415324839952,599
15,60,-10,-50,-70,-50,10,240,0.3,0.2,1.4999999999999998,2579,598,23.187281892206283,24.47714186852383,16.318094579015888,598
15,90,-10,-40,-70,-50,5,360,0.35,0.15,2.3333333333333335,2682,597,22.25950782997763,29.145274958925675,12.49083212525386,597
30,60,-20,-40,-70,-50,5,360,0.3,0.15,2.0,2343,593,25.309432351685874,24.526894616116547,12.263447308058273,593
15,60,-10,-40,-80,-50,10,360,0.3,0.2,1.4999999999999998,2127,593,27.879642689233663,25.00375123502347,16.669167490015646,593
15,60,-20,-50,-70,-50,10,360,0.35,0.15,2.3333333333333335,2670,589,22.05992509363296,28.618399792047963,12.265028482306269,589
15,90,-10,-40,-70,-50,10,240,0.3,0.2,1.4999999999999998,2720,588,21.61764705882353,24.891714713648444,16.594476475765635,588
15,90,-20,-40,-70,-50,10,360,0.4,0.2,2.0,2792,586,20.988538681948423,33.217107532906546,16.608553766453273,586
15,60,-20,-50,-70,-50,10,360,0.4,0.2,2.0,2670,585,21.910112359550563,32.706742619483386,16.353371309741693,585
15,90,-10,-40,-70,-50,5,360,0.4,0.2,2.0,2682,585,21.812080536912752,33.30888566734363,16.654442833671816,585
15,60,-20,-50,-70,-50,5,240,0.3,0.2,1.4999999999999998,2541,583,22.943722943722943,24.45166805889646,16.301112039264307,583
