entry,exit,pnl,reason,type,side,entry_price,exit_price,_leg,_prob
2026-04-09 08:45:00+00:00,2026-04-09 09:00:00+00:00,-15.0,sl,long_ret,1,9359.5,9344.5,long_ret,0.5210328102111816
2026-04-09 09:45:00+00:00,2026-04-09 10:00:00+00:00,30.0,tp,long_ret,1,9331.1,9361.1,long_ret,0.7157241106033325
2026-04-09 12:00:00+00:00,2026-04-09 12:15:00+00:00,-15.0,sl,long_ret,1,9409.6,9394.6,long_ret,0.6131097078323364
2026-04-09 16:30:00+00:00,2026-04-09 16:45:00+00:00,30.0,tp,long_ret,1,9257.6,9287.6,long_ret,0.672553539276123
2026-04-10 08:00:00+00:00,2026-04-10 08:15:00+00:00,-15.0,sl,long_ret,1,9414.3,9399.3,long_ret,0.5674680471420288
2026-04-10 11:45:00+00:00,2026-04-10 12:00:00+00:00,-15.0,sl,long_ret,1,9264.2,9249.2,long_ret,0.5436304807662964
2026-04-10 12:45:00+00:00,2026-04-10 13:00:00+00:00,-15.0,sl,long_ret,1,9270.9,9255.9,long_ret,0.6430010199546814
2026-04-10 13:15:00+00:00,2026-04-10 13:30:00+00:00,30.0,tp,long_ret,1,9269.9,9299.9,long_ret,0.5969897508621216
2026-04-10 15:00:00+00:00,2026-04-10 15:15:00+00:00,30.0,tp,long_ret,1,9302.9,9332.9,long_ret,0.6764253973960876
2026-04-10 15:45:00+00:00,2026-04-10 16:00:00+00:00,-15.0,sl,long_ret,1,9385.9,9370.9,long_ret,0.6672059297561646
2026-04-13 07:45:00+00:00,2026-04-13 08:00:00+00:00,-15.0,sl,long_ret,1,9739.5,9724.5,long_ret,0.7189037799835205
2026-04-13 14:15:00+00:00,2026-04-13 14:30:00+00:00,-15.0,sl,long_ret,1,9608.7,9593.7,long_ret,0.6208915710449219
2026-04-13 15:15:00+00:00,2026-04-13 15:30:00+00:00,30.0,tp,long_ret,1,9675.2,9705.2,long_ret,0.7492682337760925
2026-04-14 15:00:00+00:00,2026-04-14 15:15:00+00:00,-15.0,sl,long_ret,1,9073.9,9058.9,long_ret,0.7491247653961182
2026-04-14 16:30:00+00:00,2026-04-14 16:45:00+00:00,30.0,tp,long_ret,1,8935.2,8965.2,long_ret,0.764344334602356
2026-04-15 07:00:00+00:00,2026-04-15 07:15:00+00:00,30.0,tp,long_ret,1,8881.5,8911.5,long_ret,0.6311435103416443
2026-04-15 08:00:00+00:00,2026-04-15 08:15:00+00:00,30.0,tp,long_ret,1,8891.0,8921.0,long_ret,0.6048774719238281
2026-04-15 13:30:00+00:00,2026-04-15 13:45:00+00:00,-15.0,sl,long_ret,1,8882.4,8867.4,long_ret,0.6146135926246643
2026-04-15 14:45:00+00:00,2026-04-15 15:00:00+00:00,30.0,tp,long_ret,1,8960.9,8990.9,long_ret,0.6849469542503357
2026-04-15 15:15:00+00:00,2026-04-15 15:30:00+00:00,-15.0,sl,long_ret,1,8999.6,8984.6,long_ret,0.6906188726425171
2026-04-16 12:15:00+00:00,2026-04-16 12:30:00+00:00,30.0,tp,long_ret,1,8907.5,8937.5,long_ret,0.609163224697113
2026-04-16 12:45:00+00:00,2026-04-16 13:00:00+00:00,-15.0,sl,long_ret,1,8971.3,8956.3,long_ret,0.6644412279129028
2026-04-16 16:00:00+00:00,2026-04-16 16:15:00+00:00,-15.0,sl,long_ret,1,9097.5,9082.5,long_ret,0.5687001347541809
2026-04-17 12:30:00+00:00,2026-04-17 12:45:00+00:00,-15.0,sl,long_ret,1,8722.4,8707.4,long_ret,0.7556673288345337
2026-04-17 14:45:00+00:00,2026-04-17 15:00:00+00:00,30.0,tp,long_ret,1,8025.9,8055.9,long_ret,0.6798462271690369
2026-04-17 15:15:00+00:00,2026-04-17 15:30:00+00:00,-15.0,sl,long_ret,1,8173.7,8158.7,long_ret,0.5786140561103821
2026-04-17 16:15:00+00:00,2026-04-17 16:30:00+00:00,-15.0,sl,long_ret,1,8198.1,8183.1,long_ret,0.795590341091156
2026-04-20 16:30:00+00:00,2026-04-20 16:45:00+00:00,-15.0,sl,long_ret,1,8745.5,8730.5,long_ret,0.5373516082763672
2026-04-21 08:00:00+00:00,2026-04-21 08:15:00+00:00,-15.0,sl,long_ret,1,8662.3,8647.3,long_ret,0.639155387878418
2026-04-21 08:45:00+00:00,2026-04-21 09:00:00+00:00,30.0,tp,long_ret,1,8677.0,8707.0,long_ret,0.5017737746238708
2026-04-21 10:45:00+00:00,2026-04-21 11:00:00+00:00,30.0,tp,long_ret,1,8662.2,8692.2,long_ret,0.5836290717124939
2026-04-22 07:45:00+00:00,2026-04-22 08:00:00+00:00,30.0,tp,long_ret,1,8919.3,8949.3,long_ret,0.5053885579109192
2026-04-23 13:15:00+00:00,2026-04-23 13:30:00+00:00,30.0,tp,long_ret,1,9353.4,9383.4,long_ret,0.5714221000671387
2026-04-23 15:00:00+00:00,2026-04-23 15:15:00+00:00,-15.0,sl,long_ret,1,9324.4,9309.4,long_ret,0.5567101240158081
2026-04-23 15:30:00+00:00,2026-04-23 15:45:00+00:00,30.0,tp,long_ret,1,9370.9,9400.9,long_ret,0.5945138931274414
2026-04-24 11:30:00+00:00,2026-04-24 11:45:00+00:00,30.0,tp,long_ret,1,9397.1,9427.1,long_ret,0.8003102540969849
2026-04-27 12:30:00+00:00,2026-04-27 12:45:00+00:00,-15.0,sl,long_ret,1,9513.8,9498.8,long_ret,0.6954429149627686
2026-04-27 13:30:00+00:00,2026-04-27 13:45:00+00:00,-15.0,sl,long_ret,1,9521.7,9506.7,long_ret,0.6347307562828064
2026-04-27 14:00:00+00:00,2026-04-27 14:15:00+00:00,30.0,tp,long_ret,1,9485.6,9515.6,long_ret,0.6480777263641357
2026-04-27 16:00:00+00:00,2026-04-27 16:15:00+00:00,-15.0,sl,long_ret,1,9518.0,9503.0,long_ret,0.5038332939147949
2026-04-27 16:30:00+00:00,2026-04-27 17:00:00+00:00,30.0,tp,long_ret,1,9527.8,9557.8,long_ret,0.5510190725326538
