entry,exit,pnl,reason,type,side,entry_price,exit_price
2024-09-27 16:30:00+00:00,2024-09-27 17:00:00+00:00,30.0,tp,ret,1,6788.7,6818.7
2024-10-02 14:30:00+00:00,2024-10-02 14:45:00+00:00,-15.0,sl,ret,1,7165.2,7150.2
2024-10-02 15:00:00+00:00,2024-10-02 15:15:00+00:00,-15.0,sl,ret,1,7078.7,7063.7
2024-10-02 15:30:00+00:00,2024-10-02 15:45:00+00:00,30.0,tp,ret,1,6997.9,7027.9
2024-10-03 10:00:00+00:00,2024-10-03 11:15:00+00:00,30.0,tp,ret,1,7126.7,7156.7
2024-10-04 13:45:00+00:00,2024-10-04 14:15:00+00:00,30.0,tp,ret,1,7381.9,7411.9
2024-10-04 14:30:00+00:00,2024-10-04 14:45:00+00:00,-15.0,sl,ret,1,7396.5,7381.5
2024-10-04 15:00:00+00:00,2024-10-04 15:15:00+00:00,30.0,tp,ret,1,7400.6,7430.6
2024-10-04 15:30:00+00:00,2024-10-04 15:45:00+00:00,30.0,tp,ret,1,7398.7,7428.7
2024-10-07 14:00:00+00:00,2024-10-07 14:30:00+00:00,30.0,tp,ret,1,7513.0,7543.0
2024-10-08 08:15:00+00:00,2024-10-08 09:00:00+00:00,30.0,tp,ret,1,7511.6,7541.6
2024-10-08 13:45:00+00:00,2024-10-08 14:00:00+00:00,-15.0,sl,ret,1,7410.0,7395.0
2024-10-08 14:15:00+00:00,2024-10-08 14:30:00+00:00,-15.0,sl,ret,1,7366.8,7351.8
2024-10-09 13:30:00+00:00,2024-10-09 13:45:00+00:00,-15.0,sl,ret,1,7183.5,7168.5
2024-10-09 14:15:00+00:00,2024-10-09 14:30:00+00:00,30.0,tp,ret,1,7157.7,7187.7
2024-10-10 13:15:00+00:00,2024-10-10 13:30:00+00:00,-15.0,sl,ret,1,7368.2,7353.2
2024-10-11 14:00:00+00:00,2024-10-11 14:15:00+00:00,30.0,tp,ret,1,7448.6,7478.6
2024-10-11 15:15:00+00:00,2024-10-11 15:45:00+00:00,-15.0,sl,ret,1,7499.1,7484.1
2024-10-15 12:45:00+00:00,2024-10-15 13:15:00+00:00,30.0,tp,ret,1,7011.3,7041.3
2024-10-15 13:30:00+00:00,2024-10-15 13:45:00+00:00,-15.0,sl,ret,1,6981.5,6966.5
2024-10-15 14:30:00+00:00,2024-10-15 15:00:00+00:00,-15.0,sl,ret,1,6970.0,6955.0
2024-10-16 07:45:00+00:00,2024-10-16 08:00:00+00:00,-15.0,sl,ret,1,7036.7,7021.7
2024-10-16 09:45:00+00:00,2024-10-16 10:15:00+00:00,-15.0,sl,ret,1,7019.6,7004.6
2024-10-16 15:00:00+00:00,2024-10-16 15:15:00+00:00,-15.0,sl,ret,1,6963.3,6948.3
2024-10-17 13:00:00+00:00,2024-10-17 13:15:00+00:00,-15.0,sl,ret,1,7001.2,6986.2
2024-10-21 14:00:00+00:00,2024-10-21 14:15:00+00:00,-15.0,sl,ret,1,6986.5,6971.5
2024-10-22 09:45:00+00:00,2024-10-22 11:00:00+00:00,30.0,tp,ret,1,7054.2,7084.2
2024-10-22 13:45:00+00:00,2024-10-22 14:00:00+00:00,30.0,tp,ret,1,7057.0,7087.0
2024-10-23 14:30:00+00:00,2024-10-23 14:45:00+00:00,-15.0,sl,ret,1,7098.4,7083.4
2024-10-24 14:45:00+00:00,2024-10-24 15:00:00+00:00,-15.0,sl,ret,1,7027.6,7012.6
2024-10-24 15:45:00+00:00,2024-10-24 16:00:00+00:00,-15.0,sl,ret,1,7022.5,7007.5
2024-10-28 15:15:00+00:00,2024-10-28 15:30:00+00:00,-15.0,sl,ret,1,6788.2,6773.2
2024-10-29 09:00:00+00:00,2024-10-29 09:30:00+00:00,30.0,tp,ret,1,6764.9,6794.9
2024-10-29 14:30:00+00:00,2024-10-29 15:15:00+00:00,-15.0,sl,ret,1,6745.0,6730.0
2024-10-30 13:00:00+00:00,2024-10-30 13:15:00+00:00,-15.0,sl,ret,1,6817.2,6802.2
2024-10-30 15:45:00+00:00,2024-10-30 16:30:00+00:00,-15.0,sl,ret,1,6872.4,6857.4
2024-10-31 09:15:00+00:00,2024-10-31 09:30:00+00:00,30.0,tp,ret,1,6850.8,6880.8
2024-10-31 14:30:00+00:00,2024-10-31 15:15:00+00:00,30.0,tp,ret,1,6914.8,6944.8
2024-11-01 15:15:00+00:00,2024-11-01 16:15:00+00:00,-15.0,sl,ret,1,6993.9,6978.9
2024-11-04 15:00:00+00:00,2024-11-04 15:15:00+00:00,-15.0,sl,ret,1,7094.4,7079.4
2024-11-06 08:15:00+00:00,2024-11-06 09:15:00+00:00,-15.0,sl,ret,1,7057.8,7042.8
2024-11-06 10:15:00+00:00,2024-11-06 10:30:00+00:00,-15.0,sl,ret,1,7079.2,7064.2
2024-11-06 15:30:00+00:00,2024-11-06 15:45:00+00:00,30.0,tp,ret,1,7137.1,7167.1
2024-11-06 16:15:00+00:00,2024-11-06 16:30:00+00:00,-15.0,sl,ret,1,7191.6,7176.6
