h,dx,rx,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
120,0.3,0.1,0.3,0.2,1.4999999999999998,33002,5317,16.111144779104297,28.0334868866239,18.688991257749272,5317
480,0.3,0.15,0.25,0.1,2.5,27603,5306,19.22254827373836,23.309489756798573,9.32379590271943,5306
240,0.3,0.15,0.3,0.1,2.9999999999999996,27603,5276,19.113864435025178,27.971387708158282,9.32379590271943,5276
480,0.3,0.1,0.4,0.1,4.0,33002,5257,15.929337615902067,37.377982515498545,9.344495628874636,5257
360,0.3,0.2,0.25,0.12,2.0833333333333335,21600,5208,24.11111111111111,23.417386088325625,11.2403453223963,5208
240,0.3,0.2,0.2,0.1,2.0,21600,5182,23.99074074074074,18.7339088706605,9.36695443533025,5182
480,0.3,0.15,0.4,0.12,3.3333333333333335,27603,5154,18.6718834909249,37.29518361087772,11.188555083263315,5153
120,0.3,0.2,0.2,0.12,1.6666666666666667,21600,5148,23.833333333333336,18.7339088706605,11.2403453223963,5148
480,0.3,0.2,0.35,0.15,2.3333333333333335,21600,5135,23.77314814814815,32.78434052365587,14.050431652995373,5135
240,0.3,0.15,0.4,0.2,2.0,27603,5123,18.559576857587942,37.29518361087772,18.64759180543886,5122
360,0.3,0.2,0.4,0.2,2.0,21600,5099,23.60648148148148,37.467817741321,18.7339088706605,5099
480,0.3,0.15,0.3,0.1,2.9999999999999996,27603,5094,18.45451581349853,27.971387708158282,9.32379590271943,5093
360,0.3,0.1,0.4,0.1,4.0,33002,5092,15.429367917095934,37.377982515498545,9.344495628874636,5092
240,0.3,0.2,0.25,0.12,2.0833333333333335,21600,5060,23.425925925925924,23.417386088325625,11.2403453223963,5059
480,0.3,0.2,0.2,0.12,1.6666666666666667,21600,5033,23.300925925925924,18.7339088706605,11.2403453223963,5032
360,0.3,0.2,0.35,0.15,2.3333333333333335,21600,5023,23.25462962962963,32.78434052365587,14.050431652995373,5023
360,0.3,0.15,0.4,0.12,3.3333333333333335,27603,4970,18.00528928015071,37.29518361087772,11.188555083263315,4970
120,0.3,0.15,0.25,0.12,2.0833333333333335,27603,4965,17.987175307031844,23.309489756798573,11.188555083263315,4965
240,0.3,0.2,0.3,0.15,2.0,21600,4954,22.935185185185187,28.100863305990746,14.050431652995373,4954
240,0.3,0.15,0.35,0.12,2.9166666666666665,27603,4941,17.900228236061295,32.633285659517995,11.188555083263315,4940
120,0.3,0.1,0.3,0.15,2.0,33002,4901,14.850615114235502,28.0334868866239,14.01674344331195,4901
240,0.3,0.1,0.4,0.12,3.3333333333333335,33002,4866,14.744560935700868,37.377982515498545,11.213394754649562,4866
360,0.3,0.2,0.2,0.1,2.0,21600,4828,22.35185185185185,18.7339088706605,9.36695443533025,4828
480,0.3,0.2,0.25,0.12,2.0833333333333335,21600,4810,22.26851851851852,23.417386088325625,11.2403453223963,4810
360,0.3,0.15,0.35,0.1,3.4999999999999996,27603,4806,17.411150961851973,32.633285659517995,9.32379590271943,4806
480,0.3,0.15,0.35,0.1,3.4999999999999996,27603,4797,17.378545810238016,32.633285659517995,9.32379590271943,4796
480,0.3,0.2,0.4,0.15,2.666666666666667,21600,4759,22.032407407407405,37.467817741321,14.050431652995373,4758
120,0.3,0.2,0.2,0.1,2.0,21600,4710,21.805555555555557,18.7339088706605,9.36695443533025,4710
360,0.3,0.2,0.3,0.12,2.5,21600,4709,21.800925925925927,28.100863305990746,11.2403453223963,4709
240,0.3,0.2,0.35,0.2,1.7499999999999998,21600,4649,21.523148148148145,32.78434052365587,18.7339088706605,4648
120,0.3,0.2,0.25,0.2,1.25,21600,4637,21.467592592592595,23.417386088325625,18.7339088706605,4637
240,0.3,0.15,0.4,0.15,2.666666666666667,27603,4585,16.610513349998186,37.29518361087772,13.985693854079141,4584
120,0.3,0.15,0.25,0.1,2.5,27603,4576,16.577908198384232,23.309489756798573,9.32379590271943,4575
480,0.3,0.2,0.3,0.12,2.5,21600,4549,21.060185185185183,28.100863305990746,11.2403453223963,4548
240,0.3,0.2,0.25,0.1,2.5,21600,4538,21.00925925925926,23.417386088325625,9.36695443533025,4538
360,0.3,0.2,0.25,0.1,2.5,21600,4533,20.98611111111111,23.417386088325625,9.36695443533025,4533
360,0.3,0.2,0.4,0.15,2.666666666666667,21600,4488,20.77777777777778,37.467817741321,14.050431652995373,4488
480,0.3,0.15,0.4,0.1,4.0,27603,4467,16.183023584393,37.29518361087772,9.32379590271943,4466
120,0.3,0.1,0.3,0.12,2.5,33002,4459,13.511302345312407,28.0334868866239,11.213394754649562,4459
240,0.3,0.15,0.35,0.1,3.4999999999999996,27603,4447,16.110567691917545,32.633285659517995,9.32379590271943,4447
240,0.3,0.1,0.4,0.1,4.0,33002,4446,13.471910793285256,37.377982515498545,9.344495628874636,4446
240,0.3,0.2,0.3,0.12,2.5,21600,4439,20.550925925925924,28.100863305990746,11.2403453223963,4438
120,0.3,0.15,0.3,0.2,1.4999999999999998,27603,4433,16.059848567184726,27.971387708158282,18.64759180543886,4433
360,0.3,0.15,0.4,0.1,4.0,27603,4333,15.69756910480745,37.29518361087772,9.32379590271943,4333
360,0.3,0.2,0.35,0.12,2.9166666666666665,21600,4303,19.921296296296294,32.78434052365587,11.2403453223963,4302
480,0.3,0.2,0.35,0.12,2.9166666666666665,21600,4262,19.73148148148148,32.78434052365587,11.2403453223963,4262
480,0.3,0.2,0.2,0.1,2.0,21600,4239,19.625,18.7339088706605,9.36695443533025,4239
240,0.3,0.2,0.35,0.15,2.3333333333333335,21600,4229,19.578703703703702,32.78434052365587,14.050431652995373,4229
