dx,rx,tpx,slx,rr,pt,n_pat,nt,pnl,wr,dd
0.5,0.15,0.55,0.4,1.375,0.5,10282,38,321.63512951552684,44.73684210526316,-167.752236709136
0.5,0.12,0.55,0.3,1.8333333333333335,0.5,11205,45,321.0718798939729,44.44444444444444,-198.23685541065515
0.3,0.1,0.6,0.4,1.4999999999999998,0.5,35476,153,319.684904863032,43.13725490196079,-389.75528322348555
0.5,0.12,0.65,0.4,1.625,0.5,11205,32,316.70792739807894,43.75,-205.11197454558442
0.5,0.15,0.7,0.4,1.7499999999999998,0.45,10282,30,311.77342374623413,46.666666666666664,-137.63369313472867
0.4,0.12,0.6,0.35,1.7142857142857144,0.45,19149,80,311.74820954422785,45.0,-159.6917533496944
0.3,0.1,0.55,0.3,1.8333333333333335,0.45,35476,184,311.1506900290451,40.21739130434783,-446.97524752145273
0.4,0.1,0.65,0.4,1.625,0.5,20155,68,308.73897979281446,44.11764705882353,-248.3538040757776
0.5,0.15,0.7,0.25,2.8,0.45,10282,31,307.41553686237467,41.935483870967744,-164.4248809618921
0.5,0.1,0.6,0.25,2.4,0.45,11678,44,302.722263160239,36.36363636363637,-226.41448335631685
0.4,0.1,0.55,0.35,1.5714285714285716,0.5,20155,95,301.75135683046665,45.26315789473684,-280.0004736019496
0.5,0.1,0.55,0.3,1.8333333333333335,0.45,11678,45,300.09522248451503,42.22222222222222,-184.84900287466962
0.3,0.1,0.6,0.4,1.4999999999999998,0.45,35476,164,298.072755678425,43.292682926829265,-376.1869084863415
0.4,0.1,0.55,0.25,2.2,0.5,20155,90,295.59524205594107,37.77777777777778,-310.8498714010984
0.5,0.1,0.6,0.4,1.4999999999999998,0.45,11678,42,294.94774322014837,40.476190476190474,-275.9217498506514
0.3,0.12,0.6,0.35,1.7142857142857144,0.45,32746,143,294.55908752755977,39.16083916083916,-365.2442283278392
0.4,0.1,0.55,0.25,2.2,0.45,20155,96,294.26754852887325,39.58333333333333,-332.5196807481252
0.5,0.1,0.65,0.4,1.625,0.45,11678,32,292.6923550701308,46.875,-207.75274951076426
0.5,0.15,0.55,0.4,1.375,0.45,10282,42,289.5046283952388,42.857142857142854,-144.59147938081333
0.5,0.12,0.55,0.25,2.2,0.5,11205,42,289.44304521122604,38.095238095238095,-165.19737950887884
0.3,0.15,0.55,0.3,1.8333333333333335,0.45,28636,150,287.58763237615494,38.666666666666664,-328.64487822357296
0.4,0.1,0.65,0.4,1.625,0.45,20155,78,282.6378029282928,44.871794871794876,-249.56345183849044
0.3,0.15,0.7,0.25,2.8,0.5,28636,98,281.90221032181626,34.69387755102041,-281.47021841080004
0.3,0.1,0.7,0.25,2.8,0.45,35476,130,281.32188079437674,32.30769230769231,-326.20004364494525
0.4,0.1,0.6,0.35,1.7142857142857144,0.45,20155,80,281.2329241854827,46.25,-185.73548061852216
0.3,0.1,0.6,0.3,2.0,0.45,35476,166,276.67478808237047,38.55421686746988,-413.4439148415131
0.3,0.15,0.7,0.35,2.0,0.45,28636,103,276.24414388046534,37.86407766990291,-373.91657065587697
0.5,0.1,0.7,0.35,2.0,0.5,11678,24,275.9291952416402,41.66666666666667,-173.2220052612647
0.3,0.15,0.6,0.4,1.4999999999999998,0.45,28636,120,273.23133449791976,38.333333333333336,-279.95216787444315
0.5,0.1,0.65,0.3,2.166666666666667,0.5,11678,33,271.9289434316074,42.42424242424242,-190.16951665425404
0.5,0.12,0.7,0.3,2.3333333333333335,0.45,11205,32,266.07409557868687,40.625,-198.02599273218857
0.5,0.15,0.7,0.35,2.0,0.5,10282,22,265.80887832064354,40.909090909090914,-150.64779774655835
0.3,0.15,0.65,0.3,2.166666666666667,0.45,28636,117,264.83839861656406,37.60683760683761,-224.11963899397415
0.5,0.1,0.7,0.25,2.8,0.5,11678,28,264.6241392448178,39.285714285714285,-180.64646688203084
0.5,0.1,0.55,0.35,1.5714285714285716,0.5,11678,43,264.2363844723304,46.51162790697674,-180.66686218386621
0.3,0.12,0.55,0.3,1.8333333333333335,0.45,32746,171,259.37987791634896,36.25730994152047,-383.64218095513843
0.3,0.1,0.55,0.4,1.375,0.5,35476,166,256.50017860067464,41.566265060240966,-479.0270070965503
0.3,0.1,0.7,0.35,2.0,0.45,35476,112,256.39397983575464,36.607142857142854,-305.7615214177763
0.4,0.12,0.7,0.4,1.7499999999999998,0.45,19149,50,253.18955608638862,48.0,-224.3122623629215
0.5,0.15,0.7,0.4,1.7499999999999998,0.5,10282,25,250.2738581644685,52.0,-144.22460996064547
