tp,sl,horizon,trades,wr,net,avg,max_dd,tp_hit,sl_hit,timeout
25.0,15.0,12,2517,44.3,-1672.6,-0.66,-1837.2,162,455,1900
25.0,15.0,15,1922,42.6,-1271.1,-0.66,-1636.0,185,479,1258
25.0,15.0,20,1785,42.7,-1038.6,-0.58,-1686.8,206,524,1055
25.0,15.0,25,1785,42.5,-1035.4,-0.58,-1743.6,222,585,978
25.0,15.0,30,1635,40.4,-844.3,-0.52,-1558.0,238,612,785
25.0,15.0,45,1506,38.3,-1248.9,-0.83,-1663.4,255,674,577
25.0,15.0,60,1412,38.0,-1035.2,-0.73,-1605.6,278,701,433
25.0,20.0,8,2517,44.0,-1662.1,-0.66,-1885.4,119,186,2212
25.0,20.0,10,2517,45.3,-1796.9,-0.71,-2007.4,144,231,2142
25.0,20.0,12,2517,45.4,-1700.4,-0.68,-1854.8,172,269,2076
25.0,20.0,15,1840,44.3,-1088.0,-0.59,-1450.1,191,283,1366
25.0,20.0,20,1684,45.0,-963.2,-0.57,-1593.0,206,320,1158
