signal_ts,side,p_long,p_short,p_pick,pnl,exit_reason,scaled_half,bars_held,win
2026-04-07 17:35:00+00:00,1,0.5818670988082886,0.4783405363559723,0.5818670988082886,5.0,trail_stop,True,2,True
2026-04-07 18:50:00+00:00,1,0.6290323138237,0.5639674663543701,0.6290323138237,-8.909999999999854,timeout,False,10,False
2026-04-07 19:20:00+00:00,1,0.8423405289649963,0.5507245659828186,0.8423405289649963,-18.1200000000008,timeout,False,10,False
2026-04-08 07:00:00+00:00,1,0.742755651473999,0.44376128911972046,0.742755651473999,-5.020000000000437,timeout,False,10,False
2026-04-08 08:24:00+00:00,-1,0.37953200936317444,0.6670179963111877,0.6670179963111877,5.0,trail_stop,True,2,True
2026-04-08 08:27:00+00:00,-1,0.5186195969581604,0.6001023650169373,0.6001023650169373,-0.010000000000218279,timeout,False,10,False
2026-04-08 08:42:00+00:00,1,0.7242058515548706,0.46025553345680237,0.7242058515548706,5.0,trail_stop,True,2,True
2026-04-08 09:45:00+00:00,1,0.7564878463745117,0.5023452043533325,0.7564878463745117,5.0,trail_stop,True,4,True
2026-04-08 11:24:00+00:00,-1,0.6018189191818237,0.6608529090881348,0.6608529090881348,1.8800000000001091,timeout,False,10,True
2026-04-08 12:21:00+00:00,-1,0.5377892851829529,0.6976690888404846,0.6976690888404846,5.0,trail_stop,True,2,True
2026-04-08 12:24:00+00:00,-1,0.6127188205718994,0.7527047395706177,0.7527047395706177,-20.0,stop_loss,False,5,False
2026-04-08 13:00:00+00:00,-1,0.5135636925697327,0.6246036887168884,0.6246036887168884,5.0,trail_stop,True,7,True
2026-04-08 13:30:00+00:00,1,0.7053846716880798,0.5678258538246155,0.7053846716880798,-10.020000000000437,timeout,False,10,False
2026-04-08 13:33:00+00:00,1,0.8423386216163635,0.6449744701385498,0.8423386216163635,5.0,trail_stop,True,2,True
2026-04-08 13:36:00+00:00,-1,0.38314518332481384,0.7781690359115601,0.7781690359115601,7.5,target_full,True,1,True
2026-04-08 16:18:00+00:00,-1,0.5221261382102966,0.6471062898635864,0.6471062898635864,-1.839999999999236,timeout,False,10,False
2026-04-08 18:18:00+00:00,1,0.7007671594619751,0.6347191333770752,0.7007671594619751,5.0,trail_stop,True,2,True
2026-04-08 18:24:00+00:00,-1,0.37454232573509216,0.7852405905723572,0.7852405905723572,2.149999999999636,timeout,False,10,True
2026-04-09 07:34:00+00:00,1,0.6351743936538696,0.4129023253917694,0.6351743936538696,5.0,trail_stop,True,2,True
