side,signal_ts,entry_time,entry_price,entry_style,stop,target,sl,tp,horizon,timeout,impulse_low,impulse_high,slot_low,slot_high,stop_mode,entry_struct_trend,target_updates,exit_time,exit_price,exit_reason,pnl,win,hold_min
-1,2026-01-27 13:30:00+00:00,2026-01-27 13:32:00+00:00,5083.14,breakout_next_open,5092.86,5053.980000000002,9.719999999999345,29.159999999998035,120,2026-01-27 16:15:00+00:00,5085.85,5092.86,5076.33,5092.86,impulse_bar,-1,2,2026-01-27 14:16:00+00:00,5053.980000000002,target_hit,29.159999999998035,True,44.0
-1,2026-01-27 14:15:00+00:00,2026-01-27 14:24:00+00:00,5062.06,breakout_next_open,5077.62,5015.380000000002,15.55999999999949,46.67999999999847,120,2026-01-27 16:24:00+00:00,5070.88,5077.62,5055.03,5077.62,impulse_bar,-1,0,2026-01-27 14:30:00+00:00,5069.25,structure_change,-7.1899999999996,False,6.0
1,2026-01-28 11:45:00+00:00,2026-01-28 11:47:00+00:00,5262.4,breakout_next_open,5254.48,5286.16,7.920000000000073,23.76000000000022,120,2026-01-28 13:47:00+00:00,5254.48,5258.51,5252.16,5262.8,impulse_bar,1,0,2026-01-28 12:05:00+00:00,5254.48,stop_loss,-7.920000000000073,False,18.0
1,2026-01-28 12:30:00+00:00,2026-01-28 12:33:00+00:00,5264.91,breakout_next_open,5260.54,5278.0199999999995,4.369999999999891,13.109999999999673,120,2026-01-28 14:33:00+00:00,5260.54,5264.32,5258.18,5269.02,impulse_bar,1,0,2026-01-28 12:59:00+00:00,5278.0199999999995,target_hit,13.109999999999673,True,26.0
1,2026-01-28 13:30:00+00:00,2026-01-28 13:32:00+00:00,5282.39,breakout_next_open,5274.03,5307.470000000002,8.360000000000582,25.080000000001746,120,2026-01-28 15:32:00+00:00,5274.03,5278.11,5273.44,5285.88,impulse_bar,1,0,2026-01-28 13:35:00+00:00,5274.03,stop_loss,-8.360000000000582,False,3.0
1,2026-01-28 14:30:00+00:00,2026-01-28 14:36:00+00:00,5270.48,breakout_next_open,5264.98,5286.98,5.5,16.5,120,2026-01-28 16:36:00+00:00,5264.98,5268.81,5259.19,5270.68,impulse_bar,1,0,2026-01-28 14:59:00+00:00,5286.98,target_hit,16.5,True,23.0
1,2026-01-28 15:30:00+00:00,2026-01-28 15:32:00+00:00,5274.01,breakout_next_open,5256.49,5326.5700000000015,17.520000000000437,52.56000000000131,120,2026-01-28 20:15:00+00:00,5256.49,5266.28,5244.67,5275.23,impulse_bar,1,5,2026-01-28 19:57:00+00:00,5326.5700000000015,target_hit,52.56000000000131,True,265.0
1,2026-01-29 09:00:00+00:00,2026-01-29 09:03:00+00:00,5502.35,breakout_next_open,5479.02,5572.34,23.329999999999927,69.98999999999978,120,2026-01-29 11:03:00+00:00,5479.02,5499.11,5474.4,5517.41,impulse_bar,1,0,2026-01-29 11:03:00+00:00,5479.02,stop_loss,-23.329999999999927,False,120.0
1,2026-01-29 12:00:00+00:00,2026-01-29 12:02:00+00:00,5520.95,breakout_next_open,5514.25,5541.049999999999,6.699999999999818,20.099999999999454,120,2026-01-29 14:02:00+00:00,5514.25,5519.33,5514.25,5529.31,impulse_bar,1,0,2026-01-29 12:27:00+00:00,5541.049999999999,target_hit,20.099999999999454,True,25.0
1,2026-01-29 13:00:00+00:00,2026-01-29 13:02:00+00:00,5540.1,breakout_next_open,5527.95,5576.550000000002,12.150000000000546,36.45000000000164,120,2026-01-29 15:02:00+00:00,5527.95,5535.15,5527.22,5542.12,impulse_bar,1,0,2026-01-29 13:10:00+00:00,5527.95,stop_loss,-12.150000000000546,False,8.0
-1,2026-01-30 13:00:00+00:00,2026-01-30 13:04:00+00:00,5084.55,breakout_next_open,5116.78,4987.8600000000015,32.22999999999956,96.68999999999869,120,2026-01-30 15:45:00+00:00,5093.76,5116.78,5054.25,5116.78,impulse_bar,-1,2,2026-01-30 15:02:00+00:00,4987.8600000000015,target_hit,96.68999999999869,True,118.0
-1,2026-01-30 16:30:00+00:00,2026-01-30 16:34:00+00:00,4998.75,breakout_next_open,5033.35,4894.949999999999,34.600000000000364,103.80000000000109,120,2026-01-30 18:34:00+00:00,5022.35,5033.35,4988.3,5036.07,impulse_bar,-1,0,2026-01-30 17:33:00+00:00,4894.949999999999,target_hit,103.80000000000109,True,59.0
-1,2026-01-30 20:00:00+00:00,2026-01-30 20:06:00+00:00,4905.14,breakout_next_open,4931.98,4824.620000000003,26.839999999999236,80.51999999999771,120,2026-01-30 22:06:00+00:00,4918.0,4931.98,4907.08,4949.11,impulse_bar,-1,0,2026-01-30 20:55:00+00:00,4824.620000000003,target_hit,80.51999999999771,True,49.0
