entry,exit,pnl,reason,type,side,_leg,_prob,entry_price,exit_price
2026-04-17 10:30:00+00:00,2026-04-17 10:45:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.5624739527702332,,
2026-04-17 12:00:00+00:00,2026-04-17 12:15:00+00:00,-15.0,sl,ret,1,ret,0.5748308897018433,,
2026-04-17 12:30:00+00:00,2026-04-17 12:45:00+00:00,30.0,tp,ret_short,-1,ret_short,0.6441379189491272,,
2026-04-17 14:45:00+00:00,2026-04-17 15:00:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.8172902464866638,,
2026-04-17 15:00:00+00:00,2026-04-17 15:15:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.8241891860961914,,
2026-04-17 15:15:00+00:00,2026-04-17 15:30:00+00:00,30.0,tp,ret_short,-1,ret_short,0.8448852300643921,,
2026-04-17 16:15:00+00:00,2026-04-17 16:30:00+00:00,30.0,tp,ret_short,-1,ret_short,0.7176082134246826,,
2026-04-20 07:15:00+00:00,2026-04-20 07:30:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.7432824373245239,,
2026-04-20 09:45:00+00:00,2026-04-20 10:00:00+00:00,30.0,tp,ret_short,-1,ret_short,0.6791105270385742,,
2026-04-20 10:30:00+00:00,2026-04-20 10:45:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.7105368375778198,,
2026-04-20 10:45:00+00:00,2026-04-20 11:00:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.7785223722457886,,
2026-04-20 12:30:00+00:00,2026-04-20 12:45:00+00:00,30.0,tp,ret_short,-1,ret_short,0.637210488319397,,
2026-04-20 15:45:00+00:00,2026-04-20 16:00:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6697573065757751,,
2026-04-21 08:00:00+00:00,2026-04-21 08:15:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.5225870013237,,
2026-04-21 08:30:00+00:00,2026-04-21 08:45:00+00:00,30.0,tp,ret,1,ret,0.7257640957832336,,
2026-04-21 08:45:00+00:00,2026-04-21 09:00:00+00:00,30.0,tp,long_retrace,1,long_ret,0.5938184857368469,,
2026-04-21 09:15:00+00:00,2026-04-21 09:30:00+00:00,-15.0,sl,ret,1,ret,0.7402973771095276,,
2026-04-21 09:45:00+00:00,2026-04-21 10:00:00+00:00,-15.0,sl,ret,1,ret,0.5665029287338257,,
2026-04-21 10:00:00+00:00,2026-04-21 10:30:00+00:00,-15.0,sl,ret,1,ret,0.7260845899581909,,
2026-04-21 10:45:00+00:00,2026-04-21 11:00:00+00:00,30.0,tp,long_retrace,1,long_ret,0.5120272636413574,,
2026-04-21 12:15:00+00:00,2026-04-21 12:30:00+00:00,30.0,tp,ret,1,ret,0.6508418321609497,,
2026-04-22 07:45:00+00:00,2026-04-22 08:00:00+00:00,30.0,tp,long_retrace,1,long_ret,0.5262575149536133,,
2026-04-22 09:30:00+00:00,2026-04-22 09:45:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6570886373519897,,
2026-04-22 11:00:00+00:00,2026-04-22 11:15:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6080496311187744,,
2026-04-22 11:30:00+00:00,2026-04-22 11:45:00+00:00,30.0,tp,ret_short,-1,ret_short,0.7182853817939758,,
2026-04-22 12:15:00+00:00,2026-04-22 12:30:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.7526023983955383,,
2026-04-22 12:30:00+00:00,2026-04-22 12:45:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6952024102210999,,
2026-04-22 12:45:00+00:00,2026-04-22 13:00:00+00:00,30.0,tp,ret_short,-1,ret_short,0.7055121660232544,,
2026-04-22 14:00:00+00:00,2026-04-22 14:15:00+00:00,-15.0,sl,ret,1,ret,0.6164444088935852,,
2026-04-22 15:08:00+00:00,2026-04-22 15:35:00+00:00,-80.0,sl,short_impulse,-1,si,0.505370719124399,,
2026-04-23 07:00:00+00:00,2026-04-23 07:15:00+00:00,30.0,tp,ret,1,ret,0.782135546207428,,
2026-04-23 08:30:00+00:00,2026-04-23 09:00:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.5921661257743835,,
2026-04-23 12:45:00+00:00,2026-04-23 18:30:00+00:00,269.0,ny_close,wr90,1,wr90,0.7857264665330576,9281.5,9550.5
2026-04-24 07:00:00+00:00,2026-04-24 07:15:00+00:00,-15.0,sl,ret,1,ret,0.578364372253418,,
2026-04-24 07:30:00+00:00,2026-04-24 07:45:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6101666688919067,,
2026-04-24 08:16:00+00:00,2026-04-24 09:46:00+00:00,-20.200000000000728,timeout,short_impulse,-1,si,0.5314102033866067,,
2026-04-24 11:30:00+00:00,2026-04-24 11:45:00+00:00,30.0,tp,long_retrace,1,long_ret,0.7954526543617249,,
2026-04-24 13:30:00+00:00,2026-04-24 13:45:00+00:00,30.0,tp,ret_short,-1,ret_short,0.6964821219444275,,
2026-04-24 14:45:00+00:00,2026-04-24 15:00:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.7161542773246765,,
2026-04-27 10:30:00+00:00,2026-04-27 10:45:00+00:00,-15.0,sl,ret,1,ret,0.5511351227760315,,
2026-04-27 12:30:00+00:00,2026-04-27 12:45:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6437963247299194,,
2026-04-27 13:30:00+00:00,2026-04-27 13:45:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.6105999946594238,,
2026-04-27 13:45:00+00:00,2026-04-27 14:00:00+00:00,30.0,tp,ret,1,ret,0.8171648383140564,,
2026-04-27 14:00:00+00:00,2026-04-27 14:15:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.5900136828422546,,
2026-04-27 14:15:00+00:00,2026-04-27 14:30:00+00:00,30.0,tp,ret_short,-1,ret_short,0.5891497135162354,,
2026-04-27 14:45:00+00:00,2026-04-27 15:00:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.5934609174728394,,
2026-04-27 15:00:00+00:00,2026-04-27 15:15:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6696318984031677,,
