entry,exit,pnl,reason,type,side
2026-04-09 17:32:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 17:34:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 17:35:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 17:38:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 17:39:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 19:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-09 19:02:00+00:00,,34.899999999999636,target_hit,dip_long_15m,1
2026-04-10 14:46:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-10 14:52:00+00:00,,34.5,target_hit,dip_long_15m,1
2026-04-10 16:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-10 16:38:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-10 17:16:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-10 17:19:00+00:00,,40.29999999999927,target_hit,dip_long_15m,1
2026-04-10 18:17:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-10 18:18:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-10 18:19:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-10 18:20:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-10 18:23:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-10 18:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-10 18:32:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-10 18:33:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-10 18:38:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-10 19:05:00+00:00,,-2.600000000000364,timeout,dip_long_15m,1
2026-04-13 13:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 13:34:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 13:48:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 13:49:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 13:50:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 13:51:00+00:00,,47.399999999999636,target_hit,dip_long_15m,1
2026-04-13 13:53:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 14:05:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 14:06:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 14:07:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-13 14:08:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-13 14:16:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 14:20:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-13 15:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 15:09:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 15:39:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-13 16:33:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 16:35:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 16:39:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 16:47:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 16:50:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 16:51:00+00:00,,-20.0,stop_loss,dip_long_15m,1
