side,entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,exit_time,exit_price,exit_reason,pnl,wf_cycle,source,entry_ts,exit_ts,month
1,2025-08-06 16:18:00+00:00,3373.93,3369.575761400727,3380.1815695525975,2025-08-06 18:26:00+00:00,2,0,0.5,0.6960021257400513,5.831569552597416,4.354238599272736,120,2025-08-06 18:18:00+00:00,3369.575761400727,stop_loss,-4.354238599272776,16,long,2025-08-06 16:18:00+00:00,2025-08-06 18:18:00+00:00,2025-08
1,2025-08-07 08:06:00+00:00,3387.49,3383.135761400727,3393.3215695525973,2025-08-07 10:06:00+00:00,1,0,0.5,0.4512038230895996,5.831569552597416,4.354238599272736,120,2025-08-07 08:07:00+00:00,3383.135761400727,stop_loss,-4.354238599272776,16,long,2025-08-07 08:06:00+00:00,2025-08-07 08:07:00+00:00,2025-08
1,2025-08-07 08:10:00+00:00,3384.79,3380.435761400727,3391.2115695525977,2025-08-07 10:11:00+00:00,2,0,0.5,0.629352331161499,5.831569552597416,4.354238599272736,120,2025-08-07 08:15:00+00:00,3380.435761400727,stop_loss,-4.354238599272776,16,long,2025-08-07 08:10:00+00:00,2025-08-07 08:15:00+00:00,2025-08
1,2025-08-07 14:00:00+00:00,3385.12,3380.765761400727,3390.9515695525974,2025-08-07 16:00:00+00:00,0,0,0.5,0.5146875381469727,5.831569552597416,4.354238599272736,120,2025-08-07 14:08:00+00:00,3380.765761400727,stop_loss,-4.354238599272776,16,long,2025-08-07 14:00:00+00:00,2025-08-07 14:08:00+00:00,2025-08
1,2025-08-07 22:11:00+00:00,3399.24,3394.885761400727,3405.0715695525973,2025-08-08 00:11:00+00:00,0,0,0.5,0.6414214968681335,5.831569552597416,4.354238599272736,120,2025-08-07 22:11:00+00:00,3394.885761400727,stop_loss,-4.354238599272776,16,long,2025-08-07 22:11:00+00:00,2025-08-07 22:11:00+00:00,2025-08
1,2025-08-07 22:12:00+00:00,3398.0,3393.645761400727,3403.8315695525976,2025-08-08 00:12:00+00:00,0,0,0.5,0.6969006061553955,5.831569552597416,4.354238599272736,120,2025-08-07 22:12:00+00:00,3393.645761400727,stop_loss,-4.354238599272776,16,long,2025-08-07 22:12:00+00:00,2025-08-07 22:12:00+00:00,2025-08
1,2025-08-07 23:34:00+00:00,3402.66,3398.305761400727,3408.4915695525974,2025-08-08 01:34:00+00:00,0,0,0.5,0.535546064376831,5.831569552597416,4.354238599272736,120,2025-08-07 23:34:00+00:00,3398.305761400727,stop_loss,-4.354238599272776,16,long,2025-08-07 23:34:00+00:00,2025-08-07 23:34:00+00:00,2025-08
1,2025-08-07 23:36:00+00:00,3401.98,3397.6257614007272,3407.8115695525976,2025-08-08 01:36:00+00:00,0,0,0.5,0.5733358860015869,5.831569552597416,4.354238599272736,120,2025-08-07 23:36:00+00:00,3397.6257614007272,stop_loss,-4.354238599272776,16,long,2025-08-07 23:36:00+00:00,2025-08-07 23:36:00+00:00,2025-08
1,2025-08-07 23:37:00+00:00,3402.82,3398.4657614007274,3408.6515695525977,2025-08-08 01:37:00+00:00,0,0,0.5,0.5111123323440552,5.831569552597416,4.354238599272736,120,2025-08-07 23:37:00+00:00,3398.4657614007274,stop_loss,-4.354238599272776,16,long,2025-08-07 23:37:00+00:00,2025-08-07 23:37:00+00:00,2025-08
1,2025-08-07 23:38:00+00:00,3401.62,3397.265761400727,3407.4515695525974,2025-08-08 01:38:00+00:00,0,0,0.5,0.6666987538337708,5.831569552597416,4.354238599272736,120,2025-08-07 23:38:00+00:00,3397.265761400727,stop_loss,-4.354238599272776,16,long,2025-08-07 23:38:00+00:00,2025-08-07 23:38:00+00:00,2025-08
1,2025-08-07 23:45:00+00:00,3403.53,3399.1757614007274,3409.3615695525978,2025-08-08 01:45:00+00:00,0,0,0.5,0.5026086568832397,5.831569552597416,4.354238599272736,120,2025-08-07 23:45:00+00:00,3399.1757614007274,stop_loss,-4.354238599272776,16,long,2025-08-07 23:45:00+00:00,2025-08-07 23:45:00+00:00,2025-08
