side,entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,matched_pattern,exit_time,exit_price,exit_reason,pnl,source
1,2026-03-03 13:46:00+00:00,5138.72,5123.72,5191.25,2026-03-03 14:45:00+00:00,38,0,0.7938575744628906,0.7938575744628906,20.0,15.0,15,uptrend_retrace,2026-03-03 14:31:00+00:00,5123.72,stop_loss,-15.0,pattern
1,2026-03-03 15:01:00+00:00,5051.58,5036.58,5080.75,2026-03-03 15:18:00+00:00,3,0,0.9377009272575378,0.9377009272575378,20.0,15.0,15,uptrend_retrace,2026-03-03 15:04:00+00:00,5036.58,stop_loss,-15.0,pattern
1,2026-03-03 15:06:00+00:00,5047.42,5032.42,5076.65,2026-03-03 15:24:00+00:00,4,0,0.9109586477279663,0.9109586477279663,20.0,15.0,15,uptrend_retrace,2026-03-03 15:13:00+00:00,5032.42,stop_loss,-15.0,pattern
-1,2026-03-03 15:17:00+00:00,5008.14,5038.14,4964.12,2026-03-03 15:32:00+00:00,1,0,0.63015216588974,0.36984783411026,40.0,30.0,15,reversal_fvg_short,2026-03-03 15:21:00+00:00,5038.14,stop_loss,-30.0,pattern
1,2026-03-03 15:22:00+00:00,5044.69,5029.69,5089.9,2026-03-03 16:00:00+00:00,24,0,0.8518248200416565,0.8518248200416565,20.0,15.0,15,uptrend_retrace,2026-03-03 15:57:00+00:00,5089.9,target_hit,45.210000000000036,pattern
1,2026-03-03 16:35:00+00:00,5111.25,5096.25,5131.25,2026-03-03 16:50:00+00:00,0,0,0.5789852142333984,0.5789852142333984,20.0,15.0,15,uptrend_retrace,2026-03-03 16:37:00+00:00,5131.25,target_hit,20.0,pattern
1,2026-03-03 19:02:00+00:00,5140.75,5125.75,5166.21,2026-03-03 19:20:00+00:00,4,0,0.882736325263977,0.882736325263977,20.0,15.0,15,reversal_fvg_long,2026-03-03 19:10:00+00:00,5125.75,stop_loss,-15.0,pattern
1,2026-03-03 19:17:00+00:00,5110.27,5095.27,5145.27,2026-03-03 20:23:00+00:00,39,0,0.5615573525428772,0.5615573525428772,20.0,15.0,15,uptrend_retrace,2026-03-03 20:23:00+00:00,5126.06,timeout,15.789999999999964,pattern
1,2026-03-03 23:19:00+00:00,5117.06,5102.06,5140.91,2026-03-03 23:37:00+00:00,2,0,0.5573186278343201,0.5573186278343201,20.0,15.0,15,uptrend_retrace,2026-03-03 23:37:00+00:00,5125.25,timeout,8.1899999999996,pattern
1,2026-03-04 01:16:00+00:00,5154.48,5139.48,5196.52,2026-03-04 02:13:00+00:00,30,0,0.9167354702949524,0.9167354702949524,20.0,15.0,15,reversal_fvg_long,2026-03-04 02:13:00+00:00,5188.96,timeout,34.48000000000047,pattern
1,2026-03-04 03:05:00+00:00,5144.62,5129.62,5164.62,2026-03-04 03:20:00+00:00,1,0,0.569595217704773,0.569595217704773,20.0,15.0,15,uptrend_retrace,2026-03-04 03:20:00+00:00,5161.48,timeout,16.859999999999673,pattern
1,2026-03-05 00:50:00+00:00,5176.79,5161.79,5204.58,2026-03-05 01:29:00+00:00,7,0,0.5700320601463318,0.5700320601463318,20.0,15.0,15,reversal_fvg_long,2026-03-05 01:29:00+00:00,5177.31,timeout,0.5200000000004366,pattern
1,2026-03-06 14:20:00+00:00,5097.52,5082.52,5120.33,2026-03-06 15:07:00+00:00,11,0,0.5607066750526428,0.5607066750526428,20.0,15.0,15,uptrend_retrace,2026-03-06 14:57:00+00:00,5120.33,target_hit,22.80999999999949,pattern
-1,2026-03-08 22:42:00+00:00,5116.12,5146.12,5055.12,2026-03-08 23:40:00+00:00,4,0,0.6820724010467529,0.31792759895324707,40.0,30.0,30,breakthrough_short,2026-03-08 23:40:00+00:00,5070.7,timeout,45.42000000000007,pattern
1,2026-03-08 23:46:00+00:00,5077.51,5062.51,5097.51,2026-03-09 00:01:00+00:00,0,0,0.7259997725486755,0.7259997725486755,20.0,15.0,15,uptrend_retrace,2026-03-08 23:47:00+00:00,5062.51,stop_loss,-15.0,pattern
1,2026-03-08 23:58:00+00:00,5075.65,5060.65,5095.83,2026-03-09 00:14:00+00:00,2,0,0.7800999283790588,0.7800999283790588,20.0,15.0,15,uptrend_retrace,2026-03-09 00:02:00+00:00,5060.65,stop_loss,-15.0,pattern
1,2026-03-09 01:06:00+00:00,5050.77,5035.77,5082.98,2026-03-09 01:27:00+00:00,7,0,0.8060929775238037,0.8060929775238037,20.0,15.0,15,uptrend_retrace,2026-03-09 01:17:00+00:00,5082.98,target_hit,32.20999999999913,pattern
