mask,h,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
D_wr30_bounce,360,0.35,0.15,2.3333333333333335,63711,13019,20.434461866867572,30.439762024672746,13.045612296288319,13019
C_wr90_mid_drop,240,0.3,0.15,2.0,62656,12977,20.711504085801838,26.155540784861284,13.077770392430642,12977
C_wr90_mid_drop,480,0.2,0.1,2.0,62656,12950,20.66841164453524,17.437027189907525,8.718513594953762,12950
C_wr90_mid_drop,360,0.35,0.15,2.3333333333333335,62656,12820,20.460929519918285,30.514797582338165,13.077770392430642,12820
D_wr30_bounce,480,0.25,0.1,2.5,63711,12752,20.015381959159328,21.742687160480532,8.697074864192215,12752
D_wr30_bounce,480,0.4,0.15,2.666666666666667,63711,12526,19.660655145893173,34.78829945676886,13.045612296288319,12526
D_wr30_bounce,360,0.4,0.2,2.0,63711,12516,19.644959269199983,34.78829945676886,17.39414972838443,12516
C_wr90_mid_drop,480,0.25,0.1,2.5,62656,12436,19.84805924412666,21.7962839873844,8.718513594953762,12436
B_wr30_recovery,120,0.35,0.15,2.3333333333333335,141277,12375,8.759387586089739,30.313629668973984,12.991555572417422,12375
C_wr90_mid_drop,480,0.4,0.15,2.666666666666667,62656,12314,19.653345250255363,34.87405437981505,13.077770392430642,12314
D_wr30_bounce,240,0.35,0.25,1.4,63711,12307,19.316915446312255,30.439762024672746,21.742687160480532,12307
C_wr90_mid_drop,360,0.4,0.2,2.0,62656,12279,19.597484678243106,34.87405437981505,17.437027189907525,12279
D_wr30_bounce,480,0.35,0.12,2.9166666666666665,63711,12240,19.211753072467864,30.439762024672746,10.436489837030654,12240
E_wr90_structure,360,0.2,0.25,0.8,29361,12213,41.59599468682947,17.270364007115823,21.587955008894777,12213
E_wr90_structure,480,0.2,0.25,0.8,29361,12157,41.405265488232686,17.270364007115823,21.587955008894777,12157
C_wr90_mid_drop,480,0.35,0.12,2.9166666666666665,62656,12103,19.316585801838613,30.514797582338165,10.462216313944513,12103
D_wr30_bounce,240,0.3,0.12,2.5,63711,12071,18.946492756352907,26.091224592576637,10.436489837030654,12071
C_wr90_mid_drop,240,0.35,0.25,1.4,62656,12058,19.24476506639428,30.514797582338165,21.7962839873844,12058
C_wr90_mid_drop,240,0.3,0.12,2.5,62656,11966,19.097931562819205,26.155540784861284,10.462216313944513,11966
D_wr30_bounce,480,0.3,0.1,2.9999999999999996,63711,11912,18.696928316931142,26.091224592576637,8.697074864192215,11912
D_wr30_bounce,120,0.25,0.25,1.0,63711,11872,18.63414481015837,21.742687160480532,21.742687160480532,11872
D_wr30_bounce,360,0.3,0.1,2.9999999999999996,63711,11799,18.519564910298065,26.091224592576637,8.697074864192215,11799
C_wr90_mid_drop,360,0.3,0.1,2.9999999999999996,62656,11681,18.643066905005107,26.155540784861284,8.718513594953762,11681
B_wr30_recovery,120,0.35,0.12,2.9166666666666665,141277,11608,8.216482513077146,30.313629668973984,10.393244457933935,11608
C_wr90_mid_drop,480,0.3,0.1,2.9999999999999996,62656,11595,18.505809499489274,26.155540784861284,8.718513594953762,11595
D_wr30_bounce,240,0.35,0.2,1.7499999999999998,63711,11530,18.097345827251182,30.439762024672746,17.39414972838443,11530
C_wr90_mid_drop,120,0.25,0.25,1.0,62656,11502,18.35737997957099,21.7962839873844,21.7962839873844,11502
D_wr30_bounce,120,0.25,0.2,1.25,63711,11465,17.995322628745427,21.742687160480532,17.39414972838443,11465
D_wr30_bounce,360,0.35,0.12,2.9166666666666665,63711,11361,17.832085511136224,30.439762024672746,10.436489837030654,11361
C_wr90_mid_drop,360,0.35,0.12,2.9166666666666665,62656,11345,18.106805413687436,30.514797582338165,10.462216313944513,11345
C_wr90_mid_drop,240,0.35,0.2,1.7499999999999998,62656,11295,18.027004596527068,30.514797582338165,17.437027189907525,11295
E_wr90_structure,240,0.2,0.25,0.8,29361,11216,38.200333776097544,17.270364007115823,21.587955008894777,11216
C_wr90_mid_drop,120,0.25,0.2,1.25,62656,11073,17.672688968335034,21.7962839873844,17.437027189907525,11073
E_wr90_structure,360,0.2,0.2,1.0,29361,11061,37.672422601410034,17.270364007115823,17.270364007115823,11061
E_wr90_structure,480,0.25,0.25,1.0,29361,11022,37.53959333810156,21.587955008894777,21.587955008894777,11022
D_wr30_bounce,120,0.25,0.15,1.6666666666666667,63711,10955,17.194832917392603,21.742687160480532,13.045612296288319,10955
D_wr30_bounce,240,0.3,0.1,2.9999999999999996,63711,10947,17.182276216038048,26.091224592576637,8.697074864192215,10947
C_wr90_mid_drop,240,0.3,0.1,2.9999999999999996,62656,10932,17.4476506639428,26.155540784861284,8.718513594953762,10932
D_wr30_bounce,360,0.4,0.15,2.666666666666667,63711,10918,17.13675817362779,34.78829945676886,13.045612296288319,10918
B_wr30_recovery,120,0.35,0.1,3.4999999999999996,141277,10915,7.725956808256121,30.313629668973984,8.661037048278283,10915
D_wr30_bounce,480,0.4,0.12,3.3333333333333335,63711,10844,17.020608686098164,34.78829945676886,10.436489837030654,10844
C_wr90_mid_drop,360,0.4,0.15,2.666666666666667,62656,10769,17.1875,34.87405437981505,13.077770392430642,10769
D_wr30_bounce,480,0.35,0.1,3.4999999999999996,63711,10764,16.895041672552622,30.439762024672746,8.697074864192215,10764
C_wr90_mid_drop,480,0.4,0.12,3.3333333333333335,62656,10689,17.05981869254341,34.87405437981505,10.462216313944513,10688
E_wr90_structure,480,0.2,0.2,1.0,29361,10624,36.18405367664589,17.270364007115823,17.270364007115823,10624
C_wr90_mid_drop,480,0.35,0.1,3.4999999999999996,62656,10582,16.889044943820224,30.514797582338165,8.718513594953762,10582
D_wr30_bounce,240,0.35,0.15,2.3333333333333335,63711,10541,16.545023622294423,30.439762024672746,13.045612296288319,10541
E_wr90_structure,360,0.25,0.25,1.0,29361,10535,35.88093048601887,21.587955008894777,21.587955008894777,10535
C_wr90_mid_drop,120,0.25,0.15,1.6666666666666667,62656,10507,16.769343718079675,21.7962839873844,13.077770392430642,10507
E_wr90_structure,240,0.2,0.2,1.0,29361,10469,35.656142501958385,17.270364007115823,17.270364007115823,10469
