entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,exit_time,exit_price,exit_reason,pnl,side
2026-02-03 13:02:00+00:00,4909.15,4934.15,4874.28,2026-02-03 13:56:00+00:00,7,0,0.7130549550056458,0.03575867414474487,30.0,25.0,30,2026-02-03 13:28:00+00:00,4934.15,stop_loss,-25.0,down
2026-02-03 13:29:00+00:00,4935.08,4960.08,4871.22,2026-02-03 16:25:00+00:00,40,0,0.7246291637420654,0.0773184671998024,30.0,25.0,30,2026-02-03 16:16:00+00:00,4960.08,stop_loss,-25.0,down
2026-02-03 16:31:00+00:00,4966.93,4991.93,4936.93,2026-02-03 17:04:00+00:00,2,0,0.6427786350250244,0.1495162546634674,30.0,25.0,30,2026-02-03 16:38:00+00:00,4991.93,stop_loss,-25.0,down
2026-02-03 16:39:00+00:00,4991.54,5016.54,4956.24,2026-02-03 17:10:00+00:00,1,0,0.5473546981811523,0.10796631872653961,30.0,25.0,30,2026-02-03 16:53:00+00:00,4956.24,target_hit,35.30000000000018,down
2026-02-03 19:01:00+00:00,4902.62,4927.62,4856.31,2026-02-03 19:47:00+00:00,9,0,0.7428293824195862,0.08776818215847015,30.0,25.0,30,2026-02-03 19:18:00+00:00,4927.62,stop_loss,-25.0,down
2026-02-03 19:29:00+00:00,4928.36,4903.36,4958.36,2026-02-03 19:59:00+00:00,0,0,0.7154305577278137,0.5630140900611877,30.0,25.0,30,2026-02-03 19:42:00+00:00,4942.98,reverse_signal,14.61999999999989,up
2026-02-03 19:43:00+00:00,4943.02,4968.02,4907.0,2026-02-03 20:15:00+00:00,1,0,0.5078458786010742,0.4127502739429474,30.0,25.0,30,2026-02-03 19:56:00+00:00,4925.8,reverse_signal,17.220000000000255,down
2026-02-03 19:57:00+00:00,4925.56,4900.56,4985.48,2026-02-03 21:06:00+00:00,11,0,0.5091825127601624,0.6592796444892883,30.0,25.0,30,2026-02-03 20:53:00+00:00,4938.18,reverse_signal,12.61999999999989,up
2026-02-03 20:54:00+00:00,4938.32,4963.32,4908.32,2026-02-03 21:26:00+00:00,1,0,0.517504870891571,0.34508585929870605,30.0,25.0,30,2026-02-03 21:11:00+00:00,4963.32,stop_loss,-25.0,down
2026-02-04 01:11:00+00:00,5045.23,5070.23,4990.21,2026-02-04 02:16:00+00:00,7,0,0.5605018734931946,0.2108260840177536,30.0,25.0,30,2026-02-04 02:16:00+00:00,5057.38,timeout,-12.150000000000546,down
2026-02-04 14:11:00+00:00,5043.33,5068.33,5006.65,2026-02-04 14:49:00+00:00,4,0,0.5086849331855774,0.031598303467035294,30.0,25.0,30,2026-02-04 14:32:00+00:00,5006.65,target_hit,36.68000000000029,down
2026-02-04 14:33:00+00:00,5004.56,5029.56,4968.44,2026-02-04 15:07:00+00:00,4,0,0.7651702165603638,0.23433567583560944,30.0,25.0,30,2026-02-04 14:38:00+00:00,4982.33,reverse_signal,22.230000000000473,down
2026-02-04 14:39:00+00:00,4982.52,4957.52,5012.52,2026-02-04 15:11:00+00:00,1,0,0.9042526483535767,0.6092210412025452,30.0,25.0,30,2026-02-04 14:42:00+00:00,4982.4,reverse_signal,-0.12000000000080036,up
2026-02-04 14:43:00+00:00,4982.37,5007.37,4944.37,2026-02-04 15:19:00+00:00,6,0,0.9132536053657532,0.32793426513671875,30.0,25.0,30,2026-02-04 14:50:00+00:00,5007.37,stop_loss,-25.0,down
2026-02-04 14:51:00+00:00,5004.8,5029.8,4921.32,2026-02-04 16:00:00+00:00,23,0,0.9025614261627197,0.06078522279858589,30.0,25.0,30,2026-02-04 15:32:00+00:00,4925.42,reverse_signal,79.38000000000011,down
2026-02-04 16:01:00+00:00,4914.79,4939.79,4872.23,2026-02-04 16:42:00+00:00,7,0,0.8810399770736694,0.2138083428144455,30.0,25.0,30,2026-02-04 16:13:00+00:00,4939.79,stop_loss,-25.0,down
2026-02-04 16:14:00+00:00,4930.42,4955.42,4833.97,2026-02-04 17:18:00+00:00,22,0,0.8159444332122803,0.1044057235121727,30.0,25.0,30,2026-02-04 16:49:00+00:00,4871.86,reverse_signal,58.5600000000004,down
2026-02-04 16:50:00+00:00,4871.28,4846.28,4915.21,2026-02-04 17:20:00+00:00,1,0,0.6722291111946106,0.5665459036827087,30.0,25.0,30,2026-02-04 16:52:00+00:00,4896.12,reverse_signal,24.840000000000146,up
2026-02-04 16:53:00+00:00,4896.48,4921.48,4866.02,2026-02-04 17:41:00+00:00,6,0,0.9253010153770447,0.43759047985076904,30.0,25.0,30,2026-02-04 17:12:00+00:00,4921.48,stop_loss,-25.0,down
2026-02-04 17:18:00+00:00,4913.36,4938.36,4864.59,2026-02-04 17:57:00+00:00,3,0,0.8956941366195679,0.37557193636894226,30.0,25.0,30,2026-02-04 17:30:00+00:00,4925.56,reverse_signal,-12.200000000000728,down
2026-02-04 17:31:00+00:00,4925.46,4900.46,4955.46,2026-02-04 18:01:00+00:00,0,0,0.8705803751945496,0.5700384378433228,30.0,25.0,30,2026-02-04 17:36:00+00:00,4908.73,reverse_signal,-16.730000000000473,up
2026-02-04 17:37:00+00:00,4908.76,4933.76,4872.33,2026-02-04 18:17:00+00:00,3,0,0.9197988510131836,0.36464986205101013,30.0,25.0,30,2026-02-04 17:48:00+00:00,4897.04,reverse_signal,11.720000000000255,down
2026-02-04 17:49:00+00:00,4897.04,4872.04,4927.04,2026-02-04 18:19:00+00:00,0,0,0.8613221049308777,0.5588866472244263,30.0,25.0,30,2026-02-04 17:52:00+00:00,4899.78,reverse_signal,2.7399999999997817,up
2026-02-04 17:53:00+00:00,4899.77,4924.77,4843.71,2026-02-04 18:48:00+00:00,14,0,0.8544562458992004,0.36417949199676514,30.0,25.0,30,2026-02-04 18:25:00+00:00,4924.77,stop_loss,-25.0,down
