h,tpx,slx,rr,pt,hr_mask,nt,pnl,wr,dd,n_cycles
240,0.35,0.15,2.33,0.5,18.6,195,707.2,35.9,-268.5,23
240,0.6,0.25,2.4,0.3,4.2,48,700.4,47.9,-217.2,18
480,0.45,0.1,4.5,0.4,21.7,335,694.2,22.4,-553.2,23
480,0.4,0.1,4.0,0.4,28.4,389,691.9,20.8,-764.7,23
480,0.5,0.25,2.0,0.5,17.5,126,684.2,42.1,-416.0,23
480,0.5,0.35,1.43,0.45,17.5,119,677.3,47.9,-621.8,23
480,0.5,0.12,4.17,0.5,17.5,175,668.4,25.7,-388.4,23
480,0.5,0.25,2.0,0.45,17.5,136,658.1,41.9,-509.7,23
240,0.35,0.3,1.17,0.4,18.6,190,653.3,47.9,-464.2,23
240,0.6,0.2,3.0,0.3,4.2,52,652.2,44.2,-204.3,18
480,0.4,0.12,3.33,0.5,28.4,304,650.1,25.0,-807.6,23
