side,entry_time,entry_price,stop,target,timeout,target_updates,exit_time,exit_price,exit_reason,pnl,pnl_cum
up,2025-12-28 23:05:00+00:00,4543.25,4528.25,4663.25,2025-12-29 00:11:00+00:00,6,2025-12-28 23:12:00+00:00,4528.25,Stop,-15.0,-29.39999999999236
up,2025-12-28 23:13:00+00:00,4527.96,4512.96,4932.96,2025-12-29 00:37:00+00:00,25,2025-12-29 00:18:00+00:00,4512.96,Stop,-15.0,-44.39999999999236
up,2025-12-29 00:20:00+00:00,4511.05,4496.05,4571.05,2025-12-29 01:22:00+00:00,2,2025-12-29 00:23:00+00:00,4496.05,Stop,-15.0,-59.39999999999236
up,2025-12-29 00:27:00+00:00,4489.0,4474.0,4564.0,2025-12-29 01:29:00+00:00,3,2025-12-29 00:30:00+00:00,4474.0,Stop,-15.0,-74.39999999999236
up,2025-12-29 00:31:00+00:00,4481.34,4466.34,4811.34,2025-12-29 02:17:00+00:00,20,2025-12-29 02:17:00+00:00,4505.88,Timeout,24.539999999999964,-49.8599999999924
down,2025-12-29 06:59:00+00:00,4477.57,4492.57,4132.57,2025-12-29 09:28:00+00:00,21,2025-12-29 09:28:00+00:00,4466.74,Timeout,10.829999999999927,-39.02999999999247
up,2025-12-29 11:42:00+00:00,4438.39,4423.39,4468.39,2025-12-29 12:42:00+00:00,0,2025-12-29 12:42:00+00:00,4463.51,Timeout,25.11999999999989,-13.909999999992579
down,2025-12-29 13:43:00+00:00,4427.87,4442.87,4322.87,2025-12-29 14:47:00+00:00,5,2025-12-29 14:47:00+00:00,4382.73,Timeout,45.14000000000033,31.23000000000775
up,2025-12-29 14:49:00+00:00,4376.62,4361.62,4436.62,2025-12-29 15:57:00+00:00,2,2025-12-29 14:58:00+00:00,4361.62,Stop,-15.0,16.23000000000775
up,2025-12-29 14:59:00+00:00,4360.0,4345.0,4435.0,2025-12-29 16:01:00+00:00,3,2025-12-29 15:02:00+00:00,4345.0,Stop,-15.0,1.230000000007749
up,2025-12-29 15:03:00+00:00,4343.59,4328.59,4433.59,2025-12-29 16:06:00+00:00,4,2025-12-29 15:07:00+00:00,4328.59,Stop,-15.0,-13.769999999992251
up,2025-12-29 15:08:00+00:00,4329.15,4314.15,4569.15,2025-12-29 16:21:00+00:00,14,2025-12-29 15:22:00+00:00,4314.15,Stop,-15.0,-28.76999999999225
up,2025-12-29 15:23:00+00:00,4313.9,4298.9,4703.9,2025-12-29 16:59:00+00:00,24,2025-12-29 16:59:00+00:00,4341.45,Timeout,27.550000000000182,-1.2199999999920692
down,2025-12-29 23:19:00+00:00,4325.97,4340.97,3905.9700000000003,2025-12-30 00:46:00+00:00,26,2025-12-29 23:47:00+00:00,4340.97,Stop,-15.0,-16.21999999999207
down,2025-12-29 23:48:00+00:00,4340.14,4355.14,4310.14,2025-12-30 00:48:00+00:00,0,2025-12-30 00:48:00+00:00,4337.69,Timeout,2.4500000000007276,-13.769999999991342
up,2025-12-30 01:07:00+00:00,4331.43,4316.43,4646.43,2025-12-30 02:33:00+00:00,19,2025-12-30 02:33:00+00:00,4352.01,Timeout,20.579999999999927,6.810000000008586
down,2025-12-30 06:37:00+00:00,4361.36,4376.36,3956.3599999999997,2025-12-30 08:11:00+00:00,25,2025-12-30 07:43:00+00:00,4376.36,Stop,-15.0,-8.189999999991414
down,2025-12-30 07:50:00+00:00,4381.67,4396.67,3930.0600000000004,2025-12-30 10:06:00+00:00,29,2025-12-30 10:06:00+00:00,4372.19,Timeout,9.480000000000473,1.2900000000090586
down,2025-12-30 10:35:00+00:00,4387.62,4402.62,4327.62,2025-12-30 11:38:00+00:00,2,2025-12-30 11:38:00+00:00,4386.54,Timeout,1.0799999999999272,2.370000000008986
up,2025-12-30 12:16:00+00:00,4395.44,4380.44,4470.44,2025-12-30 13:31:00+00:00,3,2025-12-30 13:31:00+00:00,4385.75,Timeout,-9.6899999999996,-7.319999999990614
down,2025-12-30 13:34:00+00:00,4377.83,4392.83,3057.83,2025-12-30 17:55:00+00:00,86,2025-12-30 17:55:00+00:00,4369.25,Timeout,8.579999999999927,1.2600000000093132
down,2025-12-30 19:47:00+00:00,4357.18,4372.18,4327.18,2025-12-30 20:47:00+00:00,0,2025-12-30 20:47:00+00:00,4348.36,Timeout,8.820000000000618,10.080000000009932
up,2025-12-30 20:51:00+00:00,4346.43,4331.43,4706.43,2025-12-30 22:57:00+00:00,22,2025-12-30 23:01:00+00:00,4343.38,Timeout,-3.050000000000182,7.03000000000975
down,2025-12-30 23:04:00+00:00,4342.67,4357.67,4177.67,2025-12-31 00:55:00+00:00,9,2025-12-31 00:55:00+00:00,4340.86,Timeout,1.8100000000004002,8.84000000001015
down,2025-12-31 01:35:00+00:00,4363.97,4378.97,4243.97,2025-12-31 02:43:00+00:00,6,2025-12-31 02:43:00+00:00,4369.15,Timeout,-5.1799999999993815,3.6600000000107684
down,2025-12-31 02:57:00+00:00,4348.25,4363.25,-91.75,2025-12-31 15:05:00+00:00,294,2025-12-31 15:05:00+00:00,4337.33,Timeout,10.920000000000073,14.580000000010841
up,2025-12-31 15:06:00+00:00,4337.3,4322.3,4982.3,2025-12-31 17:04:00+00:00,41,2025-12-31 16:14:00+00:00,4322.3,Stop,-15.0,-0.4199999999891588
down,2025-12-31 16:15:00+00:00,4323.99,4338.99,1113.9899999999998,2025-12-31 22:11:00+00:00,212,2026-01-01 23:01:00+00:00,4330.32,Timeout,-6.329999999999927,-6.749999999989086
up,2026-01-01 23:05:00+00:00,4327.85,4312.85,4417.85,2026-01-02 00:08:00+00:00,4,2026-01-02 00:08:00+00:00,4348.18,Timeout,20.329999999999927,13.580000000010841
down,2026-01-02 01:17:00+00:00,4347.63,4362.63,4287.63,2026-01-02 02:29:00+00:00,2,2026-01-02 02:29:00+00:00,4347.8,Timeout,-0.17000000000007276,13.410000000010768
down,2026-01-02 05:29:00+00:00,4378.1,4393.1,4273.1,2026-01-02 06:33:00+00:00,5,2026-01-02 06:33:00+00:00,4377.56,Timeout,0.5399999999999636,13.950000000010732
down,2026-01-02 07:18:00+00:00,4375.23,4390.23,4315.23,2026-01-02 08:22:00+00:00,2,2026-01-02 08:22:00+00:00,4382.52,Timeout,-7.290000000000873,6.660000000009859
down,2026-01-02 13:32:00+00:00,4372.85,4387.85,3667.8500000000004,2026-01-02 16:34:00+00:00,45,2026-01-02 16:34:00+00:00,4316.58,Timeout,56.27000000000044,62.930000000010295
down,2026-01-02 17:30:00+00:00,4328.78,4343.78,4163.78,2026-01-02 18:47:00+00:00,9,2026-01-02 18:47:00+00:00,4314.07,Timeout,14.710000000000036,77.64000000001033
down,2026-01-02 20:37:00+00:00,4328.64,4343.64,4268.64,2026-01-02 21:50:00+00:00,2,2026-01-02 21:50:00+00:00,4331.61,Timeout,-2.969999999999345,74.67000000001099
up,2026-01-02 21:58:00+00:00,4332.55,4317.55,4392.55,2026-01-02 22:59:00+00:00,2,2026-01-04 23:01:00+00:00,4352.6,Timeout,20.050000000000182,94.72000000001117
down,2026-01-04 23:02:00+00:00,4352.72,4367.72,4277.72,2026-01-05 00:11:00+00:00,3,2026-01-04 23:12:00+00:00,4367.72,Stop,-15.0,79.72000000001117
down,2026-01-04 23:17:00+00:00,4365.52,4380.52,4110.52,2026-01-05 01:05:00+00:00,15,2026-01-05 00:16:00+00:00,4380.52,Stop,-15.0,64.72000000001117
down,2026-01-05 00:37:00+00:00,4393.08,4408.08,4153.08,2026-01-05 02:01:00+00:00,14,2026-01-05 01:02:00+00:00,4408.08,Stop,-15.0,49.72000000001117
down,2026-01-05 01:03:00+00:00,4407.7,4422.7,3687.7,2026-01-05 03:11:00+00:00,46,2026-01-05 03:11:00+00:00,4410.2,Timeout,-2.5,47.22000000001117
down,2026-01-05 06:17:00+00:00,4416.43,4431.43,4161.43,2026-01-05 07:54:00+00:00,15,2026-01-05 07:54:00+00:00,4421.17,Timeout,-4.739999999999782,42.48000000001139
down,2026-01-05 11:29:00+00:00,4417.86,4432.86,4387.86,2026-01-05 12:29:00+00:00,0,2026-01-05 12:29:00+00:00,4416.08,Timeout,1.7799999999997453,44.26000000001113
down,2026-01-05 13:23:00+00:00,4402.86,4417.86,4012.8599999999997,2026-01-05 14:51:00+00:00,24,2026-01-05 14:00:00+00:00,4417.86,Stop,-15.0,29.260000000011132
down,2026-01-05 14:11:00+00:00,4427.49,4442.49,4367.49,2026-01-05 15:19:00+00:00,2,2026-01-05 14:55:00+00:00,4442.49,Stop,-15.0,14.260000000011132
down,2026-01-05 15:01:00+00:00,4443.4,4458.4,4233.4,2026-01-05 16:22:00+00:00,12,2026-01-05 16:22:00+00:00,4446.29,Timeout,-2.8900000000003274,11.370000000010805
up,2026-01-05 16:57:00+00:00,4448.36,4433.36,4493.36,2026-01-05 17:59:00+00:00,1,2026-01-05 17:04:00+00:00,4433.36,Stop,-15.0,-3.629999999989195
up,2026-01-05 20:51:00+00:00,4442.5,4427.5,4472.5,2026-01-05 21:51:00+00:00,0,2026-01-05 21:51:00+00:00,4448.17,Timeout,5.670000000000073,2.0400000000108776
down,2026-01-06 01:11:00+00:00,4440.23,4455.23,4230.23,2026-01-06 02:28:00+00:00,12,2026-01-06 02:03:00+00:00,4455.23,Stop,-15.0,-12.959999999989122
down,2026-01-06 05:44:00+00:00,4462.86,4477.86,3892.8599999999997,2026-01-06 08:55:00+00:00,36,2026-01-06 08:55:00+00:00,4467.62,Timeout,-4.760000000000218,-17.71999999998934
down,2026-01-06 09:18:00+00:00,4457.1,4472.1,4397.1,2026-01-06 10:32:00+00:00,2,2026-01-06 10:32:00+00:00,4452.66,Timeout,4.440000000000509,-13.279999999988831
