side,entry_time,entry_price,stop,target,timeout,target_updates,exit_time,exit_price,exit_reason,pnl
up,2026-03-23 02:54:00+00:00,4358.0,4343.0,4390.57,2026-03-23 03:55:00+00:00,1,2026-03-23 02:56:00+00:00,4365.55,Reverse,7.550000000000182
down,2026-03-23 02:57:00+00:00,4364.09,4379.09,4330.53,2026-03-23 04:07:00+00:00,1,2026-03-23 03:08:00+00:00,4367.01,Reverse,-2.9200000000000728
up,2026-03-23 03:09:00+00:00,4367.36,4352.36,4397.36,2026-03-23 04:10:00+00:00,0,2026-03-23 03:11:00+00:00,4352.36,Stop,-15.0
up,2026-03-23 03:12:00+00:00,4356.45,4341.45,4387.38,2026-03-23 04:16:00+00:00,1,2026-03-23 03:17:00+00:00,4361.59,Reverse,5.140000000000327
down,2026-03-23 03:18:00+00:00,4361.3,4376.3,4323.66,2026-03-23 04:22:00+00:00,2,2026-03-23 03:23:00+00:00,4354.6,Reverse,6.699999999999818
up,2026-03-23 03:24:00+00:00,4355.62,4340.62,4394.38,2026-03-23 04:39:00+00:00,3,2026-03-23 03:40:00+00:00,4340.62,Stop,-15.0
up,2026-03-23 03:41:00+00:00,4338.79,4323.79,4388.76,2026-03-23 04:59:00+00:00,7,2026-03-23 04:00:00+00:00,4368.08,Reverse,29.289999999999964
down,2026-03-23 04:01:00+00:00,4367.9,4382.9,4337.9,2026-03-23 05:01:00+00:00,0,2026-03-23 04:01:00+00:00,4363.41,Reverse,4.489999999999782
up,2026-03-23 04:02:00+00:00,4363.79,4348.79,4406.39,2026-03-23 05:51:00+00:00,6,2026-03-23 04:52:00+00:00,4355.91,Reverse,-7.880000000000109
down,2026-03-23 04:53:00+00:00,4353.98,4368.98,4323.98,2026-03-23 05:59:00+00:00,0,2026-03-23 05:00:00+00:00,4368.98,Stop,-15.0
down,2026-03-23 05:01:00+00:00,4368.16,4383.16,4338.16,2026-03-23 06:02:00+00:00,0,2026-03-23 05:03:00+00:00,4375.66,Reverse,-7.5
up,2026-03-23 05:04:00+00:00,4375.94,4360.94,4405.94,2026-03-23 06:04:00+00:00,0,2026-03-23 05:04:00+00:00,4373.03,Reverse,-2.9099999999998545
down,2026-03-23 05:05:00+00:00,4372.74,4387.74,4342.74,2026-03-23 06:05:00+00:00,0,2026-03-23 05:05:00+00:00,4374.2,Reverse,-1.4600000000000364
up,2026-03-23 05:06:00+00:00,4374.82,4359.82,4409.44,2026-03-23 06:21:00+00:00,2,2026-03-23 05:22:00+00:00,4359.82,Stop,-15.0
up,2026-03-23 05:23:00+00:00,4359.31,4344.31,4389.31,2026-03-23 06:23:00+00:00,0,2026-03-23 05:24:00+00:00,4354.96,Reverse,-4.350000000000364
down,2026-03-23 05:25:00+00:00,4354.44,4369.44,4292.0,2026-03-23 06:39:00+00:00,4,2026-03-23 05:40:00+00:00,4322.65,Reverse,31.789999999999964
up,2026-03-23 05:41:00+00:00,4322.92,4307.92,4352.92,2026-03-23 06:41:00+00:00,0,2026-03-23 05:41:00+00:00,4328.49,Reverse,5.569999999999709
down,2026-03-23 05:42:00+00:00,4326.95,4341.95,4294.29,2026-03-23 06:42:00+00:00,1,2026-03-23 05:43:00+00:00,4321.44,Reverse,5.510000000000218
up,2026-03-23 05:44:00+00:00,4322.69,4307.69,4352.69,2026-03-23 06:44:00+00:00,0,2026-03-23 05:44:00+00:00,4322.26,Reverse,-0.42999999999938154
down,2026-03-23 05:45:00+00:00,4321.92,4336.92,4284.91,2026-03-23 06:51:00+00:00,2,2026-03-23 05:52:00+00:00,4306.72,Reverse,15.199999999999818
up,2026-03-23 05:53:00+00:00,4308.63,4293.63,4338.63,2026-03-23 06:54:00+00:00,0,2026-03-23 05:55:00+00:00,4314.12,Reverse,5.489999999999782
down,2026-03-23 05:56:00+00:00,4313.9,4328.9,4280.81,2026-03-23 06:59:00+00:00,2,2026-03-23 06:00:00+00:00,4302.28,Reverse,11.61999999999989
up,2026-03-23 06:01:00+00:00,4303.44,4288.44,4333.44,2026-03-23 07:02:00+00:00,0,2026-03-23 06:03:00+00:00,4288.44,Stop,-15.0
up,2026-03-23 06:04:00+00:00,4294.94,4279.94,4324.94,2026-03-23 07:04:00+00:00,0,2026-03-23 06:05:00+00:00,4279.94,Stop,-15.0
up,2026-03-23 06:06:00+00:00,4279.22,4264.22,4327.29,2026-03-23 07:24:00+00:00,3,2026-03-23 06:25:00+00:00,4279.66,Reverse,0.4399999999995998
down,2026-03-23 06:26:00+00:00,4279.42,4294.42,4249.42,2026-03-23 07:26:00+00:00,0,2026-03-23 06:26:00+00:00,4273.24,Reverse,6.180000000000291
up,2026-03-23 06:27:00+00:00,4274.69,4259.69,4304.69,2026-03-23 07:27:00+00:00,0,2026-03-23 06:28:00+00:00,4259.69,Stop,-15.0
up,2026-03-23 06:29:00+00:00,4252.15,4237.15,4282.15,2026-03-23 07:30:00+00:00,0,2026-03-23 06:31:00+00:00,4237.15,Stop,-15.0
up,2026-03-23 06:32:00+00:00,4244.33,4229.33,4274.33,2026-03-23 07:32:00+00:00,0,2026-03-23 06:32:00+00:00,4229.33,Stop,-15.0
up,2026-03-23 06:33:00+00:00,4227.32,4212.32,4267.46,2026-03-23 07:42:00+00:00,2,2026-03-23 06:43:00+00:00,4212.32,Stop,-15.0
up,2026-03-23 06:44:00+00:00,4198.35,4183.35,4228.35,2026-03-23 07:44:00+00:00,0,2026-03-23 06:44:00+00:00,4183.35,Stop,-15.0
up,2026-03-23 06:45:00+00:00,4183.42,4168.42,4227.65,2026-03-23 07:46:00+00:00,1,2026-03-23 06:47:00+00:00,4168.42,Stop,-15.0
up,2026-03-23 06:48:00+00:00,4171.38,4156.38,4258.42,2026-03-23 08:05:00+00:00,5,2026-03-23 07:06:00+00:00,4156.38,Stop,-15.0
up,2026-03-23 07:07:00+00:00,4154.19,4139.19,4193.3,2026-03-23 08:07:00+00:00,1,2026-03-23 07:08:00+00:00,4139.19,Stop,-15.0
up,2026-03-23 07:09:00+00:00,4144.78,4129.78,4194.71,2026-03-23 08:13:00+00:00,2,2026-03-23 07:14:00+00:00,4129.78,Stop,-15.0
up,2026-03-23 07:15:00+00:00,4131.54,4116.54,4173.61,2026-03-23 08:17:00+00:00,2,2026-03-23 07:18:00+00:00,4116.54,Stop,-15.0
up,2026-03-23 07:19:00+00:00,4115.96,4100.96,4147.5,2026-03-23 08:20:00+00:00,1,2026-03-23 07:21:00+00:00,4100.96,Stop,-15.0
up,2026-03-23 07:22:00+00:00,4103.5,4088.5,4194.08,2026-03-23 08:35:00+00:00,9,2026-03-23 07:36:00+00:00,4181.28,Reverse,77.77999999999975
down,2026-03-23 07:37:00+00:00,4179.34,4194.34,4149.34,2026-03-23 08:37:00+00:00,0,2026-03-23 07:38:00+00:00,4194.34,Stop,-15.0
down,2026-03-23 07:39:00+00:00,4192.33,4207.33,4162.33,2026-03-23 08:39:00+00:00,0,2026-03-23 07:39:00+00:00,4179.48,Reverse,12.850000000000364
up,2026-03-23 07:40:00+00:00,4180.55,4165.55,4252.67,2026-03-23 08:47:00+00:00,5,2026-03-23 07:48:00+00:00,4223.65,Reverse,43.099999999999454
down,2026-03-23 07:49:00+00:00,4222.33,4237.33,4184.38,2026-03-23 08:49:00+00:00,1,2026-03-23 07:50:00+00:00,4210.47,Reverse,11.859999999999673
up,2026-03-23 07:51:00+00:00,4211.42,4196.42,4245.0,2026-03-23 08:51:00+00:00,1,2026-03-23 07:52:00+00:00,4200.77,Reverse,-10.649999999999636
down,2026-03-23 07:53:00+00:00,4199.48,4214.48,4159.33,2026-03-23 08:59:00+00:00,1,2026-03-23 08:00:00+00:00,4214.48,Stop,-15.0
up,2026-03-23 08:01:00+00:00,4226.72,4211.72,4256.72,2026-03-23 09:01:00+00:00,0,2026-03-23 08:02:00+00:00,4211.72,Stop,-15.0
up,2026-03-23 08:03:00+00:00,4224.3,4209.3,4267.81,2026-03-23 09:07:00+00:00,2,2026-03-23 08:08:00+00:00,4240.89,Reverse,16.590000000000146
down,2026-03-23 08:09:00+00:00,4239.63,4254.63,4201.85,2026-03-23 09:13:00+00:00,2,2026-03-23 08:14:00+00:00,4254.63,Stop,-15.0
down,2026-03-23 08:15:00+00:00,4253.11,4268.11,4182.86,2026-03-23 09:34:00+00:00,5,2026-03-23 08:35:00+00:00,4268.11,Stop,-15.0
down,2026-03-23 08:36:00+00:00,4255.62,4270.62,4194.34,2026-03-23 10:14:00+00:00,8,2026-03-23 09:15:00+00:00,4270.62,Stop,-15.0
down,2026-03-23 09:16:00+00:00,4278.28,4293.28,4248.28,2026-03-23 10:20:00+00:00,0,2026-03-23 09:21:00+00:00,4293.28,Stop,-15.0
down,2026-03-23 09:22:00+00:00,4296.34,4311.34,4195.79,2026-03-23 12:04:00+00:00,13,2026-03-23 11:05:00+00:00,4311.34,Stop,-15.0
down,2026-03-23 11:06:00+00:00,4336.7,4351.7,4306.7,2026-03-23 12:06:00+00:00,0,2026-03-23 11:06:00+00:00,4351.7,Stop,-15.0
down,2026-03-23 11:08:00+00:00,4415.76,4430.76,4385.76,2026-03-23 12:08:00+00:00,0,2026-03-23 11:08:00+00:00,4385.76,Target,30.0
down,2026-03-23 11:11:00+00:00,4437.32,4452.32,4407.32,2026-03-23 12:11:00+00:00,0,2026-03-23 11:11:00+00:00,4452.32,Stop,-15.0
down,2026-03-23 11:12:00+00:00,4426.68,4441.68,4396.68,2026-03-23 12:12:00+00:00,0,2026-03-23 11:12:00+00:00,4441.68,Stop,-15.0
down,2026-03-23 11:13:00+00:00,4435.15,4450.15,4404.31,2026-03-23 12:13:00+00:00,1,2026-03-23 11:14:00+00:00,4450.15,Stop,-15.0
down,2026-03-23 11:15:00+00:00,4455.87,4470.87,4425.87,2026-03-23 12:15:00+00:00,0,2026-03-23 11:15:00+00:00,4425.87,Target,30.0
down,2026-03-23 11:16:00+00:00,4417.78,4432.78,4387.78,2026-03-23 12:16:00+00:00,0,2026-03-23 11:19:00+00:00,4387.78,Target,30.0
down,2026-03-23 11:21:00+00:00,4367.15,4382.15,4332.47,2026-03-23 12:24:00+00:00,1,2026-03-23 11:25:00+00:00,4382.15,Stop,-15.0
down,2026-03-23 11:29:00+00:00,4379.93,4394.93,4349.93,2026-03-23 12:29:00+00:00,0,2026-03-23 11:29:00+00:00,4394.93,Stop,-15.0
down,2026-03-23 11:35:00+00:00,4420.99,4435.99,4368.85,2026-03-23 12:39:00+00:00,3,2026-03-23 11:57:00+00:00,4368.85,Target,52.13999999999942
down,2026-03-23 12:02:00+00:00,4359.39,4374.39,4314.92,2026-03-23 13:06:00+00:00,2,2026-03-23 12:07:00+00:00,4342.34,Reverse,17.050000000000182
up,2026-03-23 12:08:00+00:00,4343.53,4328.53,4405.25,2026-03-23 13:12:00+00:00,2,2026-03-23 12:13:00+00:00,4364.18,Reverse,20.650000000000546
down,2026-03-23 12:14:00+00:00,4362.49,4377.49,4323.69,2026-03-23 13:15:00+00:00,1,2026-03-23 12:16:00+00:00,4377.49,Stop,-15.0
down,2026-03-23 12:17:00+00:00,4378.75,4393.75,4348.75,2026-03-23 13:18:00+00:00,0,2026-03-23 12:19:00+00:00,4393.75,Stop,-15.0
down,2026-03-23 12:20:00+00:00,4399.34,4414.34,4364.84,2026-03-23 13:23:00+00:00,2,2026-03-23 12:24:00+00:00,4389.37,Reverse,9.970000000000255
up,2026-03-23 12:25:00+00:00,4390.77,4375.77,4421.47,2026-03-23 13:25:00+00:00,1,2026-03-23 12:26:00+00:00,4393.67,Reverse,2.899999999999636
down,2026-03-23 12:27:00+00:00,4391.61,4406.61,4361.61,2026-03-23 13:27:00+00:00,0,2026-03-23 12:27:00+00:00,4393.99,Reverse,-2.380000000000109
up,2026-03-23 12:28:00+00:00,4395.17,4380.17,4425.17,2026-03-23 13:28:00+00:00,0,2026-03-23 12:28:00+00:00,4398.38,Reverse,3.2100000000000364
down,2026-03-23 12:29:00+00:00,4396.9,4411.9,4366.9,2026-03-23 13:29:00+00:00,0,2026-03-23 12:29:00+00:00,4389.08,Reverse,7.819999999999709
up,2026-03-23 12:30:00+00:00,4390.32,4375.32,4420.32,2026-03-23 13:30:00+00:00,0,2026-03-23 12:30:00+00:00,4375.32,Stop,-15.0
up,2026-03-23 12:31:00+00:00,4383.46,4368.46,4444.4,2026-03-23 13:40:00+00:00,7,2026-03-23 12:41:00+00:00,4424.29,Reverse,40.82999999999993
