entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,pnl_usd,reason
139702,139732,2025-10-08 16:46:00+00:00,2025-10-08 17:16:00+00:00,4055.04,4055.7,-0.6599999999998545,timeout
140796,140826,2025-10-09 12:01:00+00:00,2025-10-09 12:31:00+00:00,4041.04,4040.75,0.2899999999999636,timeout
140872,140878,2025-10-09 13:17:00+00:00,2025-10-09 13:23:00+00:00,4049.04,4054.04,-5.0,stop
140885,140915,2025-10-09 13:30:00+00:00,2025-10-09 14:00:00+00:00,4052.51,4015.43,37.08000000000038,timeout
140997,141027,2025-10-09 15:22:00+00:00,2025-10-09 15:52:00+00:00,4021.72,4013.41,8.309999999999945,timeout
141177,141207,2025-10-09 18:22:00+00:00,2025-10-09 18:52:00+00:00,3964.09,3957.33,6.760000000000218,timeout
142280,142310,2025-10-10 13:46:00+00:00,2025-10-10 14:16:00+00:00,3990.85,3979.43,11.420000000000073,timeout
142328,142334,2025-10-10 14:34:00+00:00,2025-10-10 14:40:00+00:00,3983.51,3988.51,-5.0,stop
142336,142343,2025-10-10 14:42:00+00:00,2025-10-10 14:49:00+00:00,3982.26,3987.26,-5.0,stop
142535,142541,2025-10-10 18:01:00+00:00,2025-10-10 18:07:00+00:00,3985.69,3990.69,-5.0,stop
142563,142593,2025-10-10 18:29:00+00:00,2025-10-10 18:59:00+00:00,4004.3,3999.17,5.130000000000109,timeout
142652,142682,2025-10-10 19:58:00+00:00,2025-10-10 20:28:00+00:00,4015.79,4012.43,3.3600000000001273,timeout
143828,143838,2025-10-13 16:37:00+00:00,2025-10-13 16:47:00+00:00,4106.22,4111.22,-5.0,stop
143849,143874,2025-10-13 16:58:00+00:00,2025-10-13 17:23:00+00:00,4105.82,4110.82,-5.0,stop
145259,145265,2025-10-14 17:29:00+00:00,2025-10-14 17:35:00+00:00,4147.33,4152.33,-5.0,stop
145276,145291,2025-10-14 17:46:00+00:00,2025-10-14 18:01:00+00:00,4144.46,4149.46,-5.0,stop
146445,146450,2025-10-15 14:16:00+00:00,2025-10-15 14:21:00+00:00,4204.9,4209.9,-5.0,stop
146455,146485,2025-10-15 14:26:00+00:00,2025-10-15 14:56:00+00:00,4206.21,4193.64,12.569999999999709,timeout
146587,146594,2025-10-15 16:38:00+00:00,2025-10-15 16:45:00+00:00,4191.81,4196.81,-5.0,stop
146621,146651,2025-10-15 17:12:00+00:00,2025-10-15 17:42:00+00:00,4190.16,4191.51,-1.3500000000003638,timeout
147775,147785,2025-10-16 13:27:00+00:00,2025-10-16 13:37:00+00:00,4247.87,4252.87,-5.0,stop
147793,147813,2025-10-16 13:45:00+00:00,2025-10-16 14:05:00+00:00,4253.28,4258.28,-5.0,stop
147879,147897,2025-10-16 15:11:00+00:00,2025-10-16 15:29:00+00:00,4268.14,4273.14,-5.0,stop
148030,148037,2025-10-16 17:42:00+00:00,2025-10-16 17:49:00+00:00,4290.14,4295.14,-5.0,stop
148060,148090,2025-10-16 18:12:00+00:00,2025-10-16 18:42:00+00:00,4288.49,4292.18,-3.6900000000005093,timeout
149128,149141,2025-10-17 13:01:00+00:00,2025-10-17 13:14:00+00:00,4307.28,4312.28,-5.0,stop
149145,149147,2025-10-17 13:18:00+00:00,2025-10-17 13:20:00+00:00,4305.47,4310.47,-5.0,stop
149440,149443,2025-10-17 18:13:00+00:00,2025-10-17 18:16:00+00:00,4231.61,4236.61,-5.0,stop
149468,149477,2025-10-17 18:41:00+00:00,2025-10-17 18:50:00+00:00,4237.31,4242.31,-5.0,stop
149479,149509,2025-10-17 18:52:00+00:00,2025-10-17 19:22:00+00:00,4237.18,4223.57,13.610000000000582,timeout
150647,150677,2025-10-20 15:22:00+00:00,2025-10-20 15:52:00+00:00,4348.43,4350.0,-1.569999999999709,timeout
150686,150716,2025-10-20 16:01:00+00:00,2025-10-20 16:31:00+00:00,4346.54,4346.36,0.18000000000029104,timeout
151783,151793,2025-10-21 11:19:00+00:00,2025-10-21 11:29:00+00:00,4260.33,4265.33,-5.0,stop
151925,151955,2025-10-21 13:41:00+00:00,2025-10-21 14:11:00+00:00,4213.09,4175.45,37.64000000000033,timeout
152020,152021,2025-10-21 15:16:00+00:00,2025-10-21 15:17:00+00:00,4134.82,4139.82,-5.0,stop
152251,152281,2025-10-21 19:07:00+00:00,2025-10-21 19:37:00+00:00,4118.13,4109.09,9.039999999999964,timeout
153254,153263,2025-10-22 12:51:00+00:00,2025-10-22 13:00:00+00:00,4034.58,4039.58,-5.0,stop
153329,153330,2025-10-22 14:06:00+00:00,2025-10-22 14:07:00+00:00,4065.04,4070.04,-5.0,stop
153333,153335,2025-10-22 14:10:00+00:00,2025-10-22 14:12:00+00:00,4057.38,4062.38,-5.0,stop
153344,153374,2025-10-22 14:21:00+00:00,2025-10-22 14:51:00+00:00,4059.97,4023.41,36.559999999999945,timeout
153443,153460,2025-10-22 16:00:00+00:00,2025-10-22 16:17:00+00:00,4034.86,4039.86,-5.0,stop
153487,153489,2025-10-22 16:44:00+00:00,2025-10-22 16:46:00+00:00,4050.94,4055.94,-5.0,stop
153503,153533,2025-10-22 17:00:00+00:00,2025-10-22 17:30:00+00:00,4057.8,4049.21,8.590000000000146,timeout
153534,153535,2025-10-22 17:31:00+00:00,2025-10-22 17:32:00+00:00,4045.73,4050.73,-5.0,stop
154673,154684,2025-10-23 13:31:00+00:00,2025-10-23 13:42:00+00:00,4140.83,4145.83,-5.0,stop
154699,154705,2025-10-23 13:57:00+00:00,2025-10-23 14:03:00+00:00,4144.12,4149.12,-5.0,stop
154951,154953,2025-10-23 18:09:00+00:00,2025-10-23 18:11:00+00:00,4133.79,4138.79,-5.0,stop
156061,156087,2025-10-24 13:40:00+00:00,2025-10-24 14:06:00+00:00,4108.05,4113.05,-5.0,stop
156099,156129,2025-10-24 14:18:00+00:00,2025-10-24 14:48:00+00:00,4128.64,4123.13,5.510000000000218,timeout
156130,156160,2025-10-24 14:49:00+00:00,2025-10-24 15:19:00+00:00,4122.92,4118.89,4.029999999999745,timeout
157597,157627,2025-10-27 16:21:00+00:00,2025-10-27 16:51:00+00:00,3992.41,3993.77,-1.3600000000001273,timeout
157849,157879,2025-10-27 20:33:00+00:00,2025-10-27 22:04:00+00:00,3995.5,3988.76,6.739999999999782,timeout
158657,158687,2025-10-28 11:02:00+00:00,2025-10-28 11:32:00+00:00,3919.45,3924.12,-4.670000000000073,timeout
158710,158740,2025-10-28 11:55:00+00:00,2025-10-28 12:25:00+00:00,3925.92,3927.32,-1.400000000000091,timeout
158782,158792,2025-10-28 13:07:00+00:00,2025-10-28 13:17:00+00:00,3922.91,3927.91,-5.0,stop
158806,158825,2025-10-28 13:31:00+00:00,2025-10-28 13:50:00+00:00,3927.96,3932.96,-5.0,stop
159034,159039,2025-10-28 17:19:00+00:00,2025-10-28 17:24:00+00:00,3964.83,3969.83,-5.0,stop
