feature_idx,channel,bar,bars_ago,importance_s1,importance_s2,importance_avg
641,body_rel,41,108,2.004128686785393e-05,5.851145573439989e-07,1.0313200712598966e-05
642,body_rel,42,107,0.00038338344433319713,1.680998623169135e-07,0.00019177577209775703
643,body_rel,43,106,0.00017275970655045356,0.00011969923291468672,0.00014622946973257014
644,body_rel,44,105,0.00011973669015412922,7.104933485435993e-09,5.9871897543807326e-05
645,body_rel,45,104,0.000143500213206987,2.7930824838380563e-05,8.571551902268377e-05
646,body_rel,46,103,0.0002732801437871046,3.4529070363262005e-05,0.00015390460707518332
647,body_rel,47,102,0.00043624039206616476,1.1377509125543472e-06,0.00021868907148935956
648,body_rel,48,101,0.0007165893101605098,1.18064029299723e-05,0.00036419785654524106
649,body_rel,49,100,0.0002503087345887736,7.871353238401467e-06,0.00012909004391358753
650,body_rel,50,99,9.556538389142666e-05,5.338595441936e-05,7.447566915539334e-05
651,body_rel,51,98,0.0002150474406629303,1.6765906685510354e-12,0.00010752372116976049
652,body_rel,52,97,4.046057525370159e-05,0.00010242517971954474,7.144287748662317e-05
653,body_rel,53,96,0.00042523876812883683,3.966399843657993e-05,0.0002324513832827084
654,body_rel,54,95,0.0007553453232402303,2.638659531709001e-06,0.00037899199138596965
655,body_rel,55,94,0.004252085081943178,6.097646673750928e-08,0.002126073029204958
656,body_rel,56,93,0.00046592867683244545,0.0011221801568935925,0.0007940544168630189
657,body_rel,57,92,0.0004980791765300801,7.618556268963019e-05,0.00028713236960985515
658,body_rel,58,91,0.0003606379414056502,0.0001451935768457801,0.00025291575912571513
659,body_rel,59,90,9.249556201110144e-05,0.0,4.624778100555072e-05
660,body_rel,60,89,0.0005855551262615682,6.369660920436341e-05,0.0003246258677329658
661,body_rel,61,88,0.0002108012354922967,9.181876460057624e-08,0.00010544652712844863
662,body_rel,62,87,0.00015798275245788653,0.0,7.899137622894327e-05
663,body_rel,63,86,0.0005317869203080144,0.00037028389639977136,0.0004510354083538929
664,body_rel,64,85,0.000614034488673847,1.4628318449611197e-08,0.0003070245584961483
665,body_rel,65,84,0.00011809797289585328,1.6519135205273284e-08,5.905724601552928e-05
666,body_rel,66,83,0.0,0.0,0.0
667,body_rel,67,82,0.00024180856120022877,3.297040271875596e-05,0.00013738948195949236
668,body_rel,68,81,3.0005037986558213e-05,0.0003913888425676659,0.00021069694027711207
669,body_rel,69,80,0.0006231774667369171,3.484827012143303e-05,0.00032901286842917503
670,body_rel,70,79,0.00041701108389406266,0.00014568022532023025,0.00028134565460714644
671,body_rel,71,78,0.00018080158936279237,3.657269564737327e-05,0.00010868714250508282
672,body_rel,72,77,0.000890376828964348,0.0003243917889026232,0.0006073843089334857
673,body_rel,73,76,0.0003952079792870716,2.0560672200205644e-05,0.0002078843257436386
674,body_rel,74,75,0.0004447463549890115,1.1499785522661193e-14,0.00022237317750025564
675,body_rel,75,74,0.00022681104805923503,0.0,0.00011340552402961751
676,body_rel,76,73,0.0005010514714795988,2.4144047935478105e-05,0.00026259775970753846
677,body_rel,77,72,0.000866043895514519,3.58320898111658e-11,0.0004330219656733044
678,body_rel,78,71,0.0001130279756478327,7.594653955406212e-05,9.448725760094741e-05
679,body_rel,79,70,0.0009169022731705381,0.0010065874679021578,0.0009617448705363479
680,body_rel,80,69,0.0002022826238836151,0.0008391798868855456,0.0005207312553845803
681,body_rel,81,68,0.0001168580617426218,4.219925489562155e-05,7.952865831912167e-05
682,body_rel,82,67,0.0006726778995003415,0.0,0.00033633894975017075
683,body_rel,83,66,0.0006293013362451754,5.2713226776489714e-15,0.00031465066812522336
684,body_rel,84,65,0.0001716076416483882,0.00010166971481015005,0.00013663867822926912
685,body_rel,85,64,0.000460603587303761,2.9346512169404317e-05,0.00024497504973658267
686,body_rel,86,63,1.609515107009251e-05,0.00037955803660394795,0.00019782659383702023
687,body_rel,87,62,0.0012314326975516844,1.1058345030944909e-05,0.0006212455212913147
688,body_rel,88,61,0.0003489596147775812,4.3657298003299304e-06,0.00017666267228895555
689,body_rel,89,60,0.0003738789139678561,7.659741228468191e-05,0.000225238163126269
690,body_rel,90,59,0.00012650111197352255,4.0638826261177364e-05,8.356996911734995e-05
691,body_rel,91,58,0.0001998603958496749,3.2473016179151164e-05,0.00011616670601441303
692,body_rel,92,57,8.114760678843886e-05,0.0,4.057380339421943e-05
693,body_rel,93,56,0.0008963527559987533,7.082715980580542e-06,0.0004517177359896669
694,body_rel,94,55,0.000377893695383395,2.8998896185132014e-05,0.00020344629578426349
695,body_rel,95,54,0.00022073773386145163,0.0,0.00011036886693072581
696,body_rel,96,53,0.00030341523973023324,6.426230427218618e-08,0.00015173975101725272
697,body_rel,97,52,0.00012594442469223205,1.454474247120167e-05,7.024458358171686e-05
698,body_rel,98,51,0.00014169183306074408,0.0006101881214941808,0.00037593997727746245
699,body_rel,99,50,0.0009061744936321395,1.4473126021036773e-05,0.00046032380982658817
700,body_rel,100,49,0.00011392009632185709,0.00019737051241197729,0.00015564530436691719
701,body_rel,101,48,1.822705363400919e-05,0.0,9.113526817004595e-06
702,body_rel,102,47,7.557592677248626e-05,5.980309240479116e-08,3.7817864932445524e-05
703,body_rel,103,46,0.0002694325903869625,1.4484770087387415e-07,0.0001347887190439182
704,body_rel,104,45,0.00013542353470263842,6.473101959879209e-05,0.00010007727715071526
705,body_rel,105,44,0.0006924148968556254,1.5368271435010755e-05,0.00035389158414531806
706,body_rel,106,43,0.0002518650496369969,0.001243736402472962,0.0007478007260549794
707,body_rel,107,42,0.000176234217072425,0.00010994394817084753,0.00014308908262163626
708,body_rel,108,41,0.0,2.0381384979680051e-07,1.0190692489840026e-07
709,body_rel,109,40,0.0007786958688371885,0.00013198059323199385,0.0004553382310345912
710,body_rel,110,39,0.0004290670925860407,1.2931237661803715e-05,0.0002209991651239222
711,body_rel,111,38,8.719827813724991e-05,7.516695036580219e-05,8.118261425152605e-05
712,body_rel,112,37,0.0005582440780575184,0.000320695025342563,0.0004394695517000407
713,body_rel,113,36,0.0012386886300724252,1.0255619273779186e-05,0.0006244721246731022
714,body_rel,114,35,0.00030859054736392217,6.968537390317557e-06,0.00015777954237711987
715,body_rel,115,34,8.165858696342191e-05,0.0005113267184614537,0.00029649265271243784
716,body_rel,116,33,0.0002738265797043925,6.857848224934001e-06,0.00014034221396466327
717,body_rel,117,32,4.2991689830201515e-05,7.370032618141572e-05,5.8346008005808615e-05
